ObjectId,CalcTime,NumOfColumns,MeasureCount,DimensionCount,NumOfRows,BookmarkApplied,ErrorCode,CalcConditionUnfulfilled,QsdaVersion,MetaId
850bc639-a858-4fb2-8867-c8cdad4fe20a,0,0,-1,-1,0,,0,False,3.4.5,9506
345e87c3-0bbb-4e60-b274-2dfec7de9c71,0,0,-1,-1,0,,0,False,3.4.5,9507
a93071c3-ab9b-4574-ad26-f5591a2c52a3,42,2,1,1,7,,0,False,3.4.5,9508
f2d2a070-37b7-4abb-80bc-53c21a6c04b5,76,2,1,1,7,,0,False,3.4.5,9509
e7383ded-4ca0-4bd0-ba00-310485f87105,46,2,1,1,7,,0,False,3.4.5,9510
77148895-ef5a-48d7-a6cf-9f010a4ccca4,71,2,1,1,7,,0,False,3.4.5,9511
2fb7948c-cfb0-4e8a-8db3-d24545238443,247,6,5,1,7,,0,False,3.4.5,9512
2eee660c-ea74-4752-8a8a-98719a18e5ce,74,2,1,1,7,,0,False,3.4.5,9513
390a4173-cce6-4921-a3ad-927e18e66cb3,3,0,-1,-1,0,,0,False,3.4.5,9514
JhDtpQC,6,8,8,0,1,,0,False,3.4.5,9515
PZJUsFj,0,0,-1,-1,0,,0,False,3.4.5,9516
fXahK,0,0,-1,-1,0,,0,False,3.4.5,9517
d18f14f2-6508-4b32-89e0-5c5174071bba,552,47,5,2,17,,0,False,3.4.5,9518
6087381a-ef45-43e4-a1c2-1c12dc3c6b96,517,95,5,2,9,,0,False,3.4.5,9519
PArmmDn,2,0,-1,-1,0,,0,False,3.4.5,9520
jsLLmsP,16,1,1,0,1,,0,False,3.4.5,9521
YYTjeX,32,1,1,0,1,,0,False,3.4.5,9522
qtDsgCB,32,1,1,0,1,,0,False,3.4.5,9523
kTxNeX,19,1,1,0,1,,0,False,3.4.5,9524
cGmdxs,2903,10,10,0,1,,0,False,3.4.5,9525
fa1e88ee-d781-4c0b-9dd2-ebd10b9ad10e,0,0,-1,-1,0,,0,False,3.4.5,9526
2c68fbaf-d90a-4cce-bfca-6b04493744e9,0,0,-1,-1,0,,0,False,3.4.5,9527
wHyhyq,0,0,-1,-1,0,,0,False,3.4.5,9528
NdLnCMZ,4,1,1,0,1,,0,False,3.4.5,9529
JLZpmX,0,0,-1,-1,0,,0,False,3.4.5,9530
b7f2e33a-da0d-4877-b3fa-f88a121a9de3,0,0,-1,-1,0,,0,False,3.4.5,9531
f70ad8f0-fc9e-4fe8-8a76-c2af0175041e,1700,3,20,1,21,,0,False,3.4.5,9532
a50b485b-0cc4-4ffa-8a40-6e2e3edea613,1402,22,21,2,8,,0,False,3.4.5,9533
fbauUhG,2,0,-1,-1,0,,0,False,3.4.5,9534
LuPpBur,0,0,-1,-1,0,,0,False,3.4.5,9535
1d2da243-ad99-4da7-8cdd-0ea75cd75b22,2746,10,10,0,1,,0,False,3.4.5,9536
1d1f84b8-250b-4666-831a-ae2a643fa48b,2,3,3,0,1,,0,False,3.4.5,9537
daFAe,1,0,-1,-1,0,,0,False,3.4.5,9538
BmpWy,0,0,-1,-1,0,,0,False,3.4.5,9539
9a9618d8-ee0f-4d2f-8eff-fdf5e8a69984,0,0,-1,-1,0,,0,False,3.4.5,9540
faba13aa-4e26-4043-851b-40136c67a07c,4123,25,26,3,61,,0,False,3.4.5,9541
3315c6b7-c506-4b88-a947-965f7b18b7fa,8914,3,34,1,35,,0,False,3.4.5,9542
067718b9-ee44-4bf0-8292-7a1c34dde964,3,0,-1,-1,0,,0,False,3.4.5,9543
cPbhLRH,0,0,-1,-1,0,,0,False,3.4.5,9544
c6def5e1-de3e-4425-ae2e-3f4262a0494b,5,6,6,0,1,,0,False,3.4.5,9545
ac828a8b-7709-439c-8b8f-510d9a801f00,9221,9,9,0,1,,0,False,3.4.5,9546
qNdFQ,1,0,-1,-1,0,,0,False,3.4.5,9547
