LibraryId,ObjectId,IsMasterDimension,Label,Grouping,Def,Fieldname,CheckResult,Description,DimensionType,HasDuplicateLabel,HasDuplicateDef,HasDuplicate,IsUsed,UseCount,PropertyPath,PropertyLocation,Tags,QsdaVersion,MetaId
0457fe1d-9cf6-4109-be7c-50427ed7838a,,True,"=If(Len('$(vCustName4)')=0,'Additional Field 4 Empty','$(vCustName4)')",GRP_NX_NONE,=[$(vCustName4)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1224
04f75a37-d19a-4767-a74e-62e9f3296093,,True,"=If(Len('$(vCustName26)')=0,'Additional Field 26 Empty','$(vCustName26)')",GRP_NX_NONE,=[$(vCustName26)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1226
05690acb-17f5-46b2-a902-9fdd9f651f71,,True,"=If(Len('$(vCustName31)')=0,'Additional Field 31 Empty','$(vCustName31)')",GRP_NX_NONE,=[$(vCustName31)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1228
08424aa8-50b6-4794-8fb1-a42f1e63d933,,True,"=If(Len('$(vCustName32)')=0,'Additional Field 32 Empty','$(vCustName32)')",GRP_NX_NONE,=[$(vCustName32)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1230
0b471cdf-9507-45a6-8f92-d4b32c704ab9,,True,'$(=$(vParetoMeasureLabel)) Tiers',GRP_NX_NONE,"=Aggr(
	if(
		RangeSum(
			Above(
				Sum(
				{<[Loan Officer_Production] *= {$(vCurrentProduction)},
				DateType={'Funding'},
				[$(vToDate)]={'Yes'},
				[Rate Lock Buy Side Base Price Rate] = {"">0""},
				[Loan Officer]=>} [$(vParetoMeasure)]) 
				
				/ Sum(
				  {<[Loan Officer_Production] *= {$(vCurrentProduction)},
				  DateType={'Funding'},
				  [$(vToDate)]={'Yes'},
				  [Rate Lock Buy Side Base Price Rate] = {"">0""},
				  [Loan Officer]=>} Total [$(vParetoMeasure)])
				,1,RowNo()
				)
			)<=0.5,
		Dual('Top Tier',1),
		
	if(
		RangeSum(
			Above(
				Sum(
				{<[Loan Officer_Production] *= {$(vCurrentProduction)},
				DateType={'Funding'},
				[$(vToDate)]={'Yes'},
				[Rate Lock Buy Side Base Price Rate] = {"">0""},
				[Loan Officer]=>} [$(vParetoMeasure)]) 
				
				/ Sum(
				{<[Loan Officer_Production] *= {$(vCurrentProduction)},
				DateType={'Funding'},
				[$(vToDate)]={'Yes'},
				[Rate Lock Buy Side Base Price Rate] = {"">0""},
				[Loan Officer]=>} Total [$(vParetoMeasure)]),1,RowNo()
				)
			)<=0.8,
		Dual('Second Tier',2),

		Dual('Bottom Tier',3)
	)
	),

	([Loan Officer],
	(=Sum({<[Loan Officer_Production] *= {$(vCurrentProduction)},
	DateType={'Funding'},
	[$(vToDate)]={'Yes'},
	[Rate Lock Buy Side Base Price Rate] = {"">0""},
	[Loan Officer]=>} [$(vParetoMeasure)]),
	Desc)
	)
)","Rate Lock Buy Side Base Price Rate, Loan Officer_Production, Loan Officer, DateType, Funding, RowNo",,,Calculated,True,False,False,True,1,,,,3.4.5,1232
0dafe536-22ec-4ea4-88a0-ece816b43bfe,,True,"=If(Len('$(vCustName23)')=0,'Additional Field 23 Empty','$(vCustName23)')",GRP_NX_NONE,=[$(vCustName23)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1234
1383e76d-1ac4-4438-898f-a059c4bb9c55,,True,"=If(Len('$(vCustName49)')=0,'Additional Field 49 Empty','$(vCustName49)')",GRP_NX_NONE,=[$(vCustName49)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1236
15b54009-5f63-4c85-872f-a914a6f3648a,,True,"=If(Len('$(vCustName41)')=0,'Additional Field 41 Empty','$(vCustName41)')",GRP_NX_NONE,=[$(vCustName41)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1238
1737e707-75ac-4087-8ba9-e7533e901bc7,,True,"=If(Len('$(vCustName36)')=0,'Additional Field 36 Empty','$(vCustName36)')",GRP_NX_NONE,=[$(vCustName36)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1240
181863d9-30c0-4b2e-ba6e-101866b0659e,,True,"=If(Len('$(vCustName42)')=0,'Additional Field 42 Empty','$(vCustName42)')",GRP_NX_NONE,=[$(vCustName42)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1242
1f7f26bc-8126-4326-a5b1-d2c0d6954a54,,True,"=If(Len('$(vCustName29)')=0,'Additional Field 29 Empty','$(vCustName29)')",GRP_NX_NONE,=[$(vCustName29)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1244
20e45d64-ba01-4576-afa8-4f825ec73e30,,True,Processor,GRP_NX_NONE,=Processor,Processor,,,Named,False,False,False,True,5,,,cr_group_Actors,3.4.5,1246
252e4d6b-639f-48d1-99a2-ecb9b2d7d115,,True,"=If(Len('$(vCustName5)')=0,'Additional Field 5 Empty','$(vCustName5)')",GRP_NX_NONE,=[$(vCustName5)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1247
2c9ad9b1-2096-414b-84a0-e6b83d862a3f,,True,"=If(Len('$(vCustName39)')=0,'Additional Field 39 Empty','$(vCustName39)')",GRP_NX_NONE,=[$(vCustName39)],,,,Named,False,False,False,True,2,,,cr_group_Additional Fields,3.4.5,1249
351127e1-1d4b-4676-a808-b9973dd75f95,,True,"=If(Len('$(vCustName24)')=0,'Additional Field 24 Empty','$(vCustName24)')",GRP_NX_NONE,=[$(vCustName24)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1251
35142262-f8c8-40b3-8b48-855f906c0b75,,True,"=If(Len('$(vCustName28)')=0,'Additional Field 28 Empty','$(vCustName28)')",GRP_NX_NONE,=[$(vCustName28)],,,,Named,False,False,False,True,6,,,cr_group_Additional Fields,3.4.5,1253
36f84ad5-1045-444d-92d4-5ce7b65fb3e1,,True,Lock Expiration Date,GRP_NX_NONE,=[Lock Expiration Date],Lock Expiration Date,,,Named,False,False,False,True,5,,,cr_group_Dates,3.4.5,1255
