Name,Cardinal,TotalBytes,ByteSize,SymbolWidth,IndexBytes,PointerBits,UseCount,KeyCount,IsUsed,IsHidden,IsSystem,IsIslandTable,AlwaysOneSelected,IsDefinitionOnly,IsNumeric,Tags,Comment,NumFormatFmt,NumFormatType,QsdaVersion,MetaId
%Dateuid,3574,294484,28592,8,265892,12,3,3,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date, $key",,###0,INTEGER,3.4.5,1138
%EDTCFuid,1038,38092,8304,8,29788,11,3,3,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date, $key",,###0,INTEGER,3.4.5,91
%STCuid,1141,39356,9128,8,30228,11,3,3,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date, $key",,###0,INTEGER,3.4.5,89
%STUuid,1108,38838,8864,8,29974,11,3,3,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date, $key",,###0,INTEGER,3.4.5,90
%VariableName,195,7448,7058,36.19,390,8,0,0,False,False,False,True,False,False,False,"$ascii, $text",,##############,REAL,3.4.5,28
1st Change Months,3,4273,67,22.33,4206,2,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,219
2MonthsAgoFlag,2,464,17,8.5,447,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,80
2QuartersAgoFlag,2,464,17,8.5,447,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,84
2WeeksAgoFlag,2,464,17,8.5,447,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,76
2YearsAgoFlag,2,464,17,8.5,447,1,49,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,88
Account Executive,1,2135,32,32,2103,1,14,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1061
Account Executive Status,1,2123,20,20,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,482
Account Manager,0,2103,0,0,2103,1,0,0,False,False,False,False,False,False,False,,,,UNKNOWN,3.4.5,358
Active Aging Days,399,22118,3192,8,18926,9,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,1069
Active Aging Days > 90,7,6397,88,12.57,6309,3,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1070
Active Aging Days > 90 Sort,7,6386,77,11,6309,3,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,1100
Active Aging Range,6,6373,64,10.67,6309,3,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1068
Active Aging Range Sort,6,6375,66,11,6309,3,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,1099
Active Loan Flag,2,2120,17,8.5,2103,1,91,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,374
Adjusted Buy Price,2599,46027,20792,8,25235,12,0,0,False,False,False,False,False,False,True,$numeric,,"#,##0.000",REAL,3.4.5,446
Adjustment Period Months,3,4273,67,22.33,4206,2,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,221
App Name,1,11,10,10,1,1,0,0,False,False,False,True,False,False,False,"$ascii, $text",,##############,REAL,3.4.5,42
App-ApprOrdered Days,931,28477,7448,8,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,###0,INTEGER,3.4.5,1046
App-Close,150,18023,1200,8,16823,8,16,0,True,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,1033
App-EstClose,221,18591,1768,8,16823,8,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,1032
App-Fund,144,17975,1152,8,16823,8,2,0,True,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,1034
App-InvPurch,156,18071,1248,8,16823,8,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,1035
App-LE Sent Days,235,18951,2128,9.06,16823,8,1,0,True,False,False,False,False,False,True,,,,UNKNOWN,3.4.5,1045
App-LE Sent Days Grouping,4,4258,52,13,4206,2,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1056
Application All Time,1,2112,9,9,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,456
Application Current Month Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,543
Application Current Year Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,545
Application Date,1016,29157,8128,8,21029,10,40,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,M/D/YYYY,DATE,3.4.5,414
Application Date Rolling 12 Month Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,547
Application Date Rolling 13 Month Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,548
Application Last Quarter Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,552
Application Last Week Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,551
Application LYMTD,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,553
Application LYQTD,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,554
Application Month,12,8568,156,13,8412,4,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,555
Application MonthPrevious,2,2120,17,8.5,2103,1,3,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,538
Application MTD,2,2120,17,8.5,2103,1,3,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,532
Application MTD Previous,2,2120,17,8.5,2103,1,3,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,535
Application Previous Month Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,544
Application Previous Year Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,546
Application QTD,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,531
Application Rolling 0-360 Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,541
Application Rolling 0-60 Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,539
Application Rolling 361-720 Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,542
Application Rolling 4Qtr Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,556
Application Rolling 61-120 Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,540
Application Today Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,549
Application Year,4,6341,32,8,6309,3,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,###0,INTEGER,3.4.5,525
Application Year Previous,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,537
Application Year_Strat,5,6363,54,10.8,6309,3,0,0,False,False,False,False,False,False,True,,,,UNKNOWN,3.4.5,1077
Application YearMonth,37,13284,666,18,12618,6,0,0,False,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,526
Application YearMonth Group,6,6416,107,17.83,6309,3,0,0,False,False,False,False,False,False,True,,,,UNKNOWN,3.4.5,406
Application YearMonthNum,37,12914,296,8,12618,6,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,527
Application YearPrevious,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,536
Application YearQuarter,13,8633,221,17,8412,4,0,0,False,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,528
Application YearWeek,160,19674,2851,17.82,16823,8,0,0,False,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,529
Application Yesterday Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,550
Application YTD,22,10924,409,18.59,10515,5,0,0,False,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,533
Application YTD Flag,2,2120,17,8.5,2103,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,530
Application YTD Previous,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,534
Appraisal Completed Date,931,49860,28831,30.97,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,123
Appraisal Ordered Date,846,47204,26175,30.94,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,122
Appraisal Ordered Flag,2,2120,17,8.5,2103,1,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1044
Appraisal Received Date,890,48577,27548,30.95,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,165
Appraisal Received Flag,2,2120,17,8.5,2103,1,6,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1128
Appraised Value,1280,33372,10240,8,23132,11,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,396
Approval,781,45204,24175,30.95,21029,10,5,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,340
Approved Flag,2,2120,17,8.5,2103,1,11,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,492
Appt Reset,0,2103,0,0,2103,1,0,0,False,False,False,False,False,False,False,,,,UNKNOWN,3.4.5,350
Appt Set,0,2103,0,0,2103,1,0,0,False,False,False,False,False,False,False,,,,UNKNOWN,3.4.5,351
ARM Program,1,2114,11,11,2103,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,215
Assets Subtotal Liquid Assets,5469,186569,159231,29.12,27338,13,1,0,True,False,False,False,False,False,True,$numeric,,,UNKNOWN,3.4.5,103
Assets Subtotal Liquid Assets Grouping,3,4252,46,15.33,4206,2,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,366
Assets Subtotal Liquid Assets Grouping Sort Order,3,4239,33,11,4206,2,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,452
ATR Loan Type,3,4259,53,17.67,4206,2,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,252
AU Decision Date,677,41999,20970,30.97,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,120
Balloon Payments,2,2117,14,7,2103,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,225
Base Buy,3401,52443,27208,8,25235,12,0,0,False,False,False,False,False,False,True,$numeric,,"#,##0.000",REAL,3.4.5,445
Base Buy ($),5939,74850,47512,8,27338,13,1,0,True,False,False,False,False,False,True,$numeric,,"#,##0.00;(#,##0.00)",REAL,3.4.5,463
Base Loan Amount,3879,129418,104183,26.86,25235,12,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,294
BE DTI Range,262,25198,6272,23.94,18926,9,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,498
BE DTI Ratio,1206,32780,9648,8,23132,11,124,0,True,False,False,False,False,False,True,$numeric,,###0.0,FIX,3.4.5,393
BORR EMPLOYER,8401,225749,196308,23.37,29441,14,1,0,True,False,False,False,False,False,False,,,,UNKNOWN,3.4.5,167
Borr Info Points Paid,1560,66447,43315,27.77,23132,11,0,0,False,False,False,False,False,False,True,$numeric,,,UNKNOWN,3.4.5,304
Borr Position,4733,121633,94295,19.92,27338,13,1,0,True,False,False,False,False,False,False,,,,UNKNOWN,3.4.5,168
Borr Position - 2nd,138,19373,2550,18.48,16823,8,1,0,True,False,False,False,False,False,False,,,,UNKNOWN,3.4.5,169
Borr Self Employed,2,4220,14,7,4206,2,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,170
Borr Self Employed - 2nd,2,4220,14,7,4206,2,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,171
Borr Yrs on Job,51,13026,408,8,12618,6,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,388
Borr Yrs on Job - 2nd,32,10771,256,8,10515,5,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,##############,REAL,3.4.5,390
Borr Yrs on Job Grouping,4,4241,35,8.75,4206,2,0,0,False,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,364
Borr Yrs on Job Grouping Sort Order,4,4250,44,11,4206,2,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,450
Borrower Mailing Address is same as the Property Address,1,2110,7,7,2103,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,194
Borrower Type,1,2119,16,16,2103,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,190
Branch,14,8552,140,10,8412,4,194,0,True,False,False,False,False,False,False,"$numeric, $integer, $ascii, $text",,,UNKNOWN,3.4.5,375
Branch Concession,2,2119,16,8,2103,1,9,0,True,False,False,False,False,False,True,$numeric,,"#,##0.000",REAL,3.4.5,436
Branch Concession ($),2,2119,16,8,2103,1,23,0,True,False,False,False,False,False,True,$numeric,,"#,##0.00;(#,##0.00)",REAL,3.4.5,1127
Branch Missing,1,2114,11,11,2103,1,0,0,False,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,1104
Branch Price Concession,2,2151,48,24,2103,1,1,0,True,False,False,False,False,False,True,$numeric,,,UNKNOWN,3.4.5,141
Branch_Production,2,2120,17,8.5,2103,1,60,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1136
Broker Lender Name,2,2156,53,26.5,2103,1,14,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,1062
Business or Commercial Purpose,1,2159,56,56,2103,1,1,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,177
Buy Price Contribution,7092,84074,56736,8,27338,13,0,0,False,False,False,False,False,False,True,$numeric,,"#,##0.00;(#,##0.00)",REAL,3.4.5,495
Buy Side Lock # Days,38,13494,876,23.05,12618,6,1,0,True,False,False,False,False,False,True,"$numeric, $integer",,,UNKNOWN,3.4.5,202
Buy Side Lock Date,765,44703,23674,30.95,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,201
Buy Side Lock Expiration,1020,52596,31567,30.95,21029,10,1,0,True,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,203
CD Applied Cure,797,42080,21051,26.41,21029,10,12,0,True,False,False,False,False,False,True,$numeric,,,UNKNOWN,3.4.5,164
CD Lender Credits,1340,58953,35821,26.73,23132,11,2,0,True,False,False,False,False,False,True,$numeric,,,UNKNOWN,3.4.5,401
Channel,1,2124,21,21,2103,1,59,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,137
Channel Group,1,2115,12,12,2103,1,2,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,371
Channel_ExcludeCorrespondent,1,2124,21,21,2103,1,8,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,407
Client,1,35,34,34,1,1,0,0,False,False,False,True,False,False,False,"$ascii, $text",,##############,REAL,3.4.5,40
ClientID,1,17,16,16,1,1,0,0,False,False,False,True,False,False,False,"$ascii, $text",,##############,REAL,3.4.5,41
Closer,4,4280,74,18.5,4206,2,204,0,True,False,False,False,False,False,False,"$ascii, $text",,,UNKNOWN,3.4.5,411
Closer Assignment,757,44464,23435,30.96,21029,10,0,0,False,False,False,False,False,False,True,"$numeric, $integer, $timestamp, $date",,,UNKNOWN,3.4.5,342
