Flag,Category,Label,Description,Impact,RefObjectType,RefMetaId,QsdaVersion,MetaId
MissingTheme,Quality,Missing Theme,,0,AppInfoMeta,2,3.4.5,-18135
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,5,3.4.5,-18136
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,5,3.4.5,-18137
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,5,3.4.5,-18138
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,6,3.4.5,-18139
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,6,3.4.5,-18140
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,6,3.4.5,-18141
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,7,3.4.5,-18142
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,7,3.4.5,-18143
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,7,3.4.5,-18144
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,8,3.4.5,-18145
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,8,3.4.5,-18146
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,8,3.4.5,-18147
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,9,3.4.5,-18148
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,9,3.4.5,-18149
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,9,3.4.5,-18150
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,9,3.4.5,-18151
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,10,3.4.5,-18152
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,10,3.4.5,-18153
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,10,3.4.5,-18154
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,10,3.4.5,-18155
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,11,3.4.5,-18156
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,11,3.4.5,-18157
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,11,3.4.5,-18158
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,12,3.4.5,-18159
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,12,3.4.5,-18160
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,12,3.4.5,-18161
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,12,3.4.5,-18162
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,13,3.4.5,-18163
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,13,3.4.5,-18164
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,13,3.4.5,-18165
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,14,3.4.5,-18166
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,14,3.4.5,-18167
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,14,3.4.5,-18168
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,15,3.4.5,-18169
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,15,3.4.5,-18170
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,15,3.4.5,-18171
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,16,3.4.5,-18172
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,16,3.4.5,-18173
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,16,3.4.5,-18174
