Id,Type,Title,LibraryId,VizClass,IsExtensionMissing,IsMasterVisualization,Name,SheetName,SheetId,CalcTime,BookmarkApplied,NumOfColumns,NumOfRows,UseCount,CalcConditionUnfulfilled,QsdaVersion,MetaId
850bc639-a858-4fb2-8867-c8cdad4fe20a,qlik-variable-input,Choose Loan Started Year,6e9f2aa0-1ee8-4b8f-a6ac-422e8ff9b49f,Extension,False,True,qlik-variable-input / Choose Loan Started Year (850bc639-a858-4fb2-8867-c8cdad4fe20a),='Company Performance Overview | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)',010844d6-8576-4ac3-806d-585e14afa503,0,,0,0,1,False,3.4.5,8922
345e87c3-0bbb-4e60-b274-2dfec7de9c71,qlik-variable-input,Choose a Chart View,4836e1e5-218b-4e17-81fe-f8953b11dffe,Extension,False,True,qlik-variable-input / Choose a Chart View (345e87c3-0bbb-4e60-b274-2dfec7de9c71),='Company Performance Overview | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)',010844d6-8576-4ac3-806d-585e14afa503,0,,0,0,1,False,3.4.5,8923
a93071c3-ab9b-4574-ad26-f5591a2c52a3,barchart,='Loans Started in $(vYear)',b85d8e37-ae03-4513-8910-c180f8ff69b2,Native,False,True,barchart / ='Loans Started in $(vYear)' (a93071c3-ab9b-4574-ad26-f5591a2c52a3),<Master Library>,,0.042,,2,7,0,False,3.4.5,8924
f2d2a070-37b7-4abb-80bc-53c21a6c04b5,barchart,='Loans Started in $(vYear)',7324bee0-81e0-4dce-aadd-5e37695f59e8,Native,False,True,barchart / ='Loans Started in $(vYear)' (f2d2a070-37b7-4abb-80bc-53c21a6c04b5),<Master Library>,,0.076,,2,7,0,False,3.4.5,8925
e7383ded-4ca0-4bd0-ba00-310485f87105,barchart,='Loans Started in $(vYear)',b7acb5ee-99cf-46df-9f44-e6a81b96af1f,Native,False,True,barchart / ='Loans Started in $(vYear)' (e7383ded-4ca0-4bd0-ba00-310485f87105),<Master Library>,,0.046,,2,7,0,False,3.4.5,8926
77148895-ef5a-48d7-a6cf-9f010a4ccca4,barchart,='Loans Started in $(vYear)',22ec0c79-5342-4dee-89e3-9b47d80e1a03,Native,False,True,barchart / ='Loans Started in $(vYear)' (77148895-ef5a-48d7-a6cf-9f010a4ccca4),<Master Library>,,0.071,,2,7,0,False,3.4.5,8927
2fb7948c-cfb0-4e8a-8db3-d24545238443,table,='Loans Started in $(vYear)',6f6aedac-e160-4c54-b4dd-9f9166ea9c8e,Native,False,True,table / ='Loans Started in $(vYear)' (2fb7948c-cfb0-4e8a-8db3-d24545238443),<Master Library>,,0.247,,6,7,0,False,3.4.5,8928
2eee660c-ea74-4752-8a8a-98719a18e5ce,barchart,='Loans Started in $(vYear)',b64c6c10-9ad2-4571-af3b-ffeefd3db499,Native,False,True,barchart / ='Loans Started in $(vYear)' (2eee660c-ea74-4752-8a8a-98719a18e5ce),<Master Library>,,0.074,,2,7,0,False,3.4.5,8929
390a4173-cce6-4921-a3ad-927e18e66cb3,container,Company Performance Overview: Container,771f3abd-b092-4776-8437-815ef0ca0b9e,Native,False,True,container / Company Performance Overview: Container (390a4173-cce6-4921-a3ad-927e18e66cb3),='Company Performance Overview | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)',010844d6-8576-4ac3-806d-585e14afa503,0.003,,0,0,1,False,3.4.5,8930
JhDtpQC,sn-text,Loan Funnel Story,0c40f10d-e5c3-4676-ba75-76ce6e0c4e1c,Extension,False,True,sn-text / Loan Funnel Story (JhDtpQC),='Company Performance Overview | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)',010844d6-8576-4ac3-806d-585e14afa503,0.006,,8,1,1,False,3.4.5,8931
PZJUsFj,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (PZJUsFj),='Company Performance Overview | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)',010844d6-8576-4ac3-806d-585e14afa503,0,,0,0,1,False,3.4.5,8932
fXahK,QlikInfoModal,,,Extension,True,False,QlikInfoModal / [no title] (fXahK),='Company Performance Overview | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)',010844d6-8576-4ac3-806d-585e14afa503,0,,0,0,1,False,3.4.5,8933
d18f14f2-6508-4b32-89e0-5c5174071bba,pivot-table,='$(vOpsScorecardActor) Output Trends',b82efe54-820b-41f8-a22a-a2f89b3b2b91,Native,False,True,pivot-table / ='$(vOpsScorecardActor) Output Trends' (d18f14f2-6508-4b32-89e0-5c5174071bba),<Master Library>,,0.552,,47,17,0,False,3.4.5,8934
6087381a-ef45-43e4-a1c2-1c12dc3c6b96,pivot-table,='$(vOpsScorecardActor) Output Trends',b1a795c3-67c4-440b-93a7-7f14a8dfb339,Native,False,True,pivot-table / ='$(vOpsScorecardActor) Output Trends' (6087381a-ef45-43e4-a1c2-1c12dc3c6b96),<Master Library>,,0.517,,95,9,0,False,3.4.5,8935
PArmmDn,container,Operation Scorecard Trends: Chart Container,38ca714b-3e0f-4bae-8e51-ea1f58675315,Native,False,True,container / Operation Scorecard Trends: Chart Container (PArmmDn),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0.002,,0,0,1,False,3.4.5,8936
jsLLmsP,kpi,Operation Scorecard Trends: Average Days KPI,11b25787-4855-4ab7-bb56-e8ef5dc711c9,Native,False,True,kpi / Operation Scorecard Trends: Average Days KPI (jsLLmsP),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0.016,,1,1,1,False,3.4.5,8937
YYTjeX,kpi,Operation Scorecard Trends: Average Volume Output KPI,30143fc2-cd69-4bc0-a490-627b0ebc8262,Native,False,True,kpi / Operation Scorecard Trends: Average Volume Output KPI (YYTjeX),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0.032,,1,1,1,False,3.4.5,8938
qtDsgCB,kpi,Operation Scorecard Trends: Avg Units Output KPI,70d1b824-efdb-4086-ad32-01a77b6b7b3c,Native,False,True,kpi / Operation Scorecard Trends: Avg Units Output KPI (qtDsgCB),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0.032,,1,1,1,False,3.4.5,8939
kTxNeX,kpi,Operation Scorecard Trends: Loan Complexity Score KPI,9bf255fe-4a4f-47ff-bca9-227806417249,Native,False,True,kpi / Operation Scorecard Trends: Loan Complexity Score KPI (kTxNeX),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0.019,,1,1,1,False,3.4.5,8940
cGmdxs,sn-text,TopTiering Story,1f14ed37-e358-4f09-8c5c-87a43e0ca9e5,Extension,False,True,sn-text / TopTiering Story (cGmdxs),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,2.903,,10,1,1,False,3.4.5,8941
fa1e88ee-d781-4c0b-9dd2-ebd10b9ad10e,qlik-variable-input,chr(32),b7a209e1-e069-4045-bce9-7ceb26099f04,Extension,False,True,qlik-variable-input / chr(32) (fa1e88ee-d781-4c0b-9dd2-ebd10b9ad10e),<Master Library>,,0,,0,0,0,False,3.4.5,8942
2c68fbaf-d90a-4cce-bfca-6b04493744e9,qlik-variable-input,chr(32),260917dc-666a-4761-8619-58a312bc95d6,Extension,False,True,qlik-variable-input / chr(32) (2c68fbaf-d90a-4cce-bfca-6b04493744e9),<Master Library>,,0,,0,0,0,False,3.4.5,8943
wHyhyq,container,Operation Scorecard Trends: Choose Actor/Comparison,5637284d-858f-449b-9387-41534a18557c,Native,False,True,container / Operation Scorecard Trends: Choose Actor/Comparison (wHyhyq),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0,,0,0,1,False,3.4.5,8944
NdLnCMZ,kpi,Operation Scorecard Trends: Target Unit KPI,cce0a25d-3ed5-4503-8410-885b435165f1,Native,False,True,kpi / Operation Scorecard Trends: Target Unit KPI (NdLnCMZ),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0.004,,1,1,1,False,3.4.5,8945
JLZpmX,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (JLZpmX),Operation Scorecard Trends,1b7e60bb-c475-4922-a4f8-2c9c4b89fbb5,0,,0,0,1,False,3.4.5,8946
b7f2e33a-da0d-4877-b3fa-f88a121a9de3,qlik-variable-input,Choose Scorecard Actor,e258ca01-709e-4077-8272-704d30ac4151,Extension,False,True,qlik-variable-input / Choose Scorecard Actor (b7f2e33a-da0d-4877-b3fa-f88a121a9de3),Operation Scorecard,3c65849c-a82a-4180-85b3-febe540f3e81,0,,0,0,1,False,3.4.5,8947
