ObjectId,CalcTime,NumOfColumns,MeasureCount,DimensionCount,NumOfRows,BookmarkApplied,ErrorCode,CalcConditionUnfulfilled,QsdaVersion,MetaId
vJXJsrU,0,0,-1,-1,0,,0,False,3.4.5,8378
29555a4d-0644-40c8-a338-c00c8adbf1d2,7,0,-1,-1,0,,0,False,3.4.5,8387
jHvVThG,0,0,-1,-1,0,,0,False,3.4.5,8391
23adf42a-760b-4ae0-8532-e3dc511bae41,1,0,-1,-1,0,,0,False,3.4.5,8393
mTJzj,0,0,-1,-1,0,,0,False,3.4.5,8396
VYd,2,0,0,0,1,,0,False,3.4.5,8397
413d3c5e-88e5-463e-837f-597602514e8b,2,0,-1,-1,0,,0,False,3.4.5,8404
mwkmFg,0,0,-1,-1,0,,0,False,3.4.5,8406
ed4d2a12-0af5-4e99-9f59-989a3c56243e,1,0,-1,-1,0,,0,False,3.4.5,8408
XzCwhe,0,0,-1,-1,0,,0,False,3.4.5,8410
a2170a77-ad2a-4abd-be8b-ec3d3627feed,1,0,-1,-1,0,,0,False,3.4.5,8412
LYeyDG,0,0,-1,-1,0,,0,False,3.4.5,8414
e9c11a9e-b87b-4640-8a0a-58e37c185112,2,0,-1,-1,0,,0,False,3.4.5,8416
LsUAMvw,0,0,-1,-1,0,,0,False,3.4.5,8419
857ce82d-1855-4edf-aacc-542c7b492efc,1,0,-1,-1,0,,0,False,3.4.5,8421
fepkQq,0,0,-1,-1,0,,0,False,3.4.5,8423
e85ea7d6-d694-46a4-b4ee-31b03a548d46,3,0,-1,-1,0,,0,False,3.4.5,8425
JMrvYeM,0,0,-1,-1,0,,0,False,3.4.5,8428
f8de35e2-f1ba-49ac-b103-fbb8dd597b00,2,0,-1,-1,0,,0,False,3.4.5,8429
QZQMFmN,0,0,-1,-1,0,,0,False,3.4.5,8432
b6862eb7-984d-4bc9-ae8e-5e16d7cfebef,1,0,-1,-1,0,,0,False,3.4.5,8434
uYpmJ,0,0,-1,-1,0,,0,False,3.4.5,8436
5bb7e4cd-9bdc-40bf-9ceb-04d77abf95a5,1,0,-1,-1,0,,0,False,3.4.5,8437
XJDZj,0,0,-1,-1,0,,0,False,3.4.5,8440
c1082e99-b2ff-45af-a0da-0efefbcf88af,1,0,-1,-1,0,,0,False,3.4.5,8442
mmJTfWB,0,0,-1,-1,0,,0,False,3.4.5,8444
31a08ae7-7dc2-4713-b19b-197f808d3574,2,0,-1,-1,0,,0,False,3.4.5,8446
mvBGUfm,0,0,-1,-1,0,,0,False,3.4.5,8448
8ac0e94c-2af4-491b-8c0a-42b697eb9801,1,0,-1,-1,0,,0,False,3.4.5,8449
NNKRDJ,0,0,-1,-1,0,,0,False,3.4.5,8452
9e3b2bd5-9ab1-4461-a0fa-5e39cbda1eb3,2,0,-1,-1,0,,0,False,3.4.5,8453
ezFDJ,0,0,-1,-1,0,,0,False,3.4.5,8455
b400d49b-b369-408e-88f4-a9241e01f396,1,0,-1,-1,0,,0,False,3.4.5,8457
wkQEqPj,0,0,-1,-1,0,,0,False,3.4.5,8458
nShZjf,2,0,0,0,1,,0,False,3.4.5,8460
YJjbmWX,0,0,-1,-1,0,,0,False,3.4.5,8463
rwkUQUJ,0,0,-1,-1,0,,0,False,3.4.5,8465
dwJmR,0,0,-1,-1,0,,0,False,3.4.5,8467
dzsBUqY,0,0,-1,-1,0,,0,False,3.4.5,8469
BWpeEsQ,0,0,-1,-1,0,,0,False,3.4.5,8470
qqEGSZU,3,0,0,0,1,,0,False,3.4.5,8472
hQU,0,0,-1,-1,0,,0,False,3.4.5,8475
QtYxPZ,0,0,-1,-1,0,,0,False,3.4.5,8477
nxdXxn,0,0,-1,-1,0,,0,False,3.4.5,8478
DHpkuz,0,0,-1,-1,0,,0,False,3.4.5,8480
3c5a0463-8b14-451f-96cc-76eb99f8d00f,7,0,1,1,0,,7000,False,3.4.5,8481
CJPeeeU,4,0,5,0,0,,7000,False,3.4.5,8489
SAGT,9,0,7,2,0,,7000,False,3.4.5,8493
djkwrg,0,0,-1,-1,0,,0,False,3.4.5,8499
f7d58040-3eef-4c1c-97d7-be72863a3205,0,0,-1,-1,0,,0,False,3.4.5,8500
XXFeaEA,8,0,1,5,0,,7000,False,3.4.5,8501
sPZJzt,0,0,-1,-1,0,,0,False,3.4.5,8505
GgAmSD,22,0,8,2,0,,7000,False,3.4.5,8507
KzGWGaj,0,0,-1,-1,0,,0,False,3.4.5,8516
KUYqDCw,0,0,-1,-1,0,,0,False,3.4.5,8518
UYjLp,0,0,-1,-1,0,,0,False,3.4.5,8519
aadc36e4-ebc5-405d-8fc9-50d91b5a44a1,0,0,-1,-1,0,,0,False,3.4.5,8521
jEpWjTx,14,0,9,8,0,,7000,False,3.4.5,8523
vqjY,0,0,-1,-1,0,,0,False,3.4.5,8533
HbPjffJ,4,0,1,0,0,,7000,False,3.4.5,8535
QPPBN,5,0,1,0,0,,7000,False,3.4.5,8539
jpujW,6,0,1,0,0,,7000,False,3.4.5,8544
mzPTuj,5,0,1,0,0,,7000,False,3.4.5,8548
JLqtakx,0,0,-1,-1,0,,0,False,3.4.5,8553
nTNuqbJ,0,0,-1,-1,0,,0,False,3.4.5,8554
rerzA,0,0,-1,-1,0,,0,False,3.4.5,8556
546199db-7f9b-49e7-87c9-fb2b222bbe5d,13,0,14,2,0,,7000,False,3.4.5,8558
877bc601-d8e5-42d0-ba73-04beed83a959,11,0,13,2,0,,7000,False,3.4.5,8568
3f2cd8bf-bae0-4d1c-ab74-4402ae243b40,18,0,13,5,0,,7000,False,3.4.5,8577
6270beed-adf4-4e38-971d-ec3613474887,13,0,13,5,0,,7000,False,3.4.5,8588
cCcJYP,3,0,-1,-1,0,,0,False,3.4.5,8598
sBLPuaA,0,0,-1,-1,0,,0,False,3.4.5,8601
jBpRNX,15,0,9,8,0,,7000,False,3.4.5,8602
JLLDSWv,0,0,-1,-1,0,,0,False,3.4.5,8613
168bf34f-76b4-4a42-8bf0-03f05f2ab18e,18,2,1,1,0,,0,False,3.4.5,8615
e8fe48ea-58f3-4c93-9203-fda08b06fb12,5,1,1,1,1,,0,False,3.4.5,8623
2f131019-32fd-4592-9bb4-b836d9d49a17,5,2,1,1,0,,0,False,3.4.5,8628
549a3d29-de88-4904-b40f-5d26d0dcbbc9,6,2,1,1,0,,0,False,3.4.5,8633
a41731da-8c9b-4cc7-8f4f-f8e003eb77b3,2,0,-1,-1,0,,0,False,3.4.5,8638
VdjCyb,23,12,12,1,0,,0,False,3.4.5,8641
AYjRzr,5,1,1,1,1,,0,False,3.4.5,8654
gZURYL,0,0,-1,-1,0,,0,False,3.4.5,8658
wmjcR,0,0,-1,-1,0,,0,False,3.4.5,8660
Yfnqc,0,0,-1,-1,0,,0,False,3.4.5,8662
9afb151d-16b9-4ff6-9363-abbad954ccba,18,0,1,1,0,,7000,False,3.4.5,8664
86b437d2-fd92-4d49-adb8-7271b37ab900,16,0,1,1,0,,7000,False,3.4.5,8673
ed11d739-8025-4154-a3ca-a659f5456347,0,0,-1,-1,0,,0,False,3.4.5,8683
541a602e-f1f6-4481-8067-b133d5420773,0,0,-1,-1,0,,0,False,3.4.5,8685
377d0b77-201f-44ab-a31b-dc2e5f25ef49,5,0,1,0,0,,7000,False,3.4.5,8687
KvwtB,0,0,-1,-1,0,,0,False,3.4.5,8692
dfa33260-b885-4eae-b484-d9259f0a9b53,0,0,-1,-1,0,,0,False,3.4.5,8693
90f51e46-44af-4c79-a0fb-7d04a26c1082,0,0,-1,-1,0,,0,False,3.4.5,8695
f83fc960-a66b-4a99-8dd2-93e07840865a,0,0,-1,-1,0,,0,False,3.4.5,8696
a1ec270c-9964-41e5-901c-3739c7b44fa6,0,0,-1,-1,0,,0,False,3.4.5,8698
f311defb-9041-41d2-8264-c2bbfd4acefc,0,0,-1,-1,0,,0,False,3.4.5,8699
b008ad77-c779-4a6d-b19c-1750f3ab0e00,0,0,-1,-1,0,,0,False,3.4.5,8700
89f8b87d-910f-47ec-b39f-804d0e76a7e0,0,0,-1,-1,0,,0,False,3.4.5,8701
2390ea38-303d-4d63-b8c3-3c57d1c63a97,0,0,-1,-1,0,,0,False,3.4.5,8703
fa4997a5-c7ae-4f24-99a5-be33be55e5c9,0,0,-1,-1,0,,0,False,3.4.5,8705
YjCSB,0,0,-1,-1,0,,0,False,3.4.5,8706
2fb2d0f1-9c0c-481c-84ee-588ba682a7fd,5,1,-1,-1,0,,0,False,3.4.5,8708
FSCjumf,0,0,-1,-1,0,,0,False,3.4.5,8712
gLVMNFJ,0,0,-1,-1,0,,0,False,3.4.5,8714
f2595a86-4caf-4753-9fc3-25018933be5a,78,0,12,35,0,,7005,True,3.4.5,8716
c77b539a-9e21-407c-9be6-ba624e1f01a9,79,0,12,45,0,,7005,True,3.4.5,8748
mQTEWu,2,0,-1,-1,0,,0,False,3.4.5,8779
eJbTPUE,0,0,-1,-1,0,,0,False,3.4.5,8782
0606b1d2-3ebd-4c25-9244-6a5b776168e4,5,0,-1,-1,0,,0,False,3.4.5,8783
0f768ea8-e261-4ad4-87d9-ff9b80161046,2,0,-1,-1,0,,0,False,3.4.5,8786
0fa6495f-c585-41bb-98c1-3e11da991574,2,0,-1,-1,0,,0,False,3.4.5,8789
18911201-6067-454c-91be-ddf02b94def5,1,0,-1,-1,0,,0,False,3.4.5,8791
1afb25ca-fcc6-4fe5-932c-caae4df5a1fa,3,0,-1,-1,0,,0,False,3.4.5,8793
1ddf44bc-6a1f-4891-86ae-e98a6bd2e7e8,4,0,5,0,0,,7000,False,3.4.5,8796
1e22fd67-654b-45c3-b8d1-9421823d7a89,2,0,-1,-1,0,,0,False,3.4.5,8800
2a5d6459-ad38-4151-b3ad-b5806f90ae50,4,0,-1,-1,0,,0,False,3.4.5,8803
2de4b59b-64a3-4263-8fd6-791c6b2e8b6b,4,0,1,0,0,,7000,False,3.4.5,8806
38535ffa-4d93-456d-b274-6d146c00cca8,2,0,-1,-1,0,,0,False,3.4.5,8810
3b5fff68-9206-4fcf-a14c-8a53f5ff7246,2,0,-1,-1,0,,0,False,3.4.5,8813
3f268ca1-a9d0-4fe3-aca1-a39cf3212392,1,0,-1,-1,0,,0,False,3.4.5,8815
4f8f4431-e7d4-419c-9510-5baa949fc251,2,0,-1,-1,0,,0,False,3.4.5,8817
614b9b3f-e96a-4b4c-92be-73ef9fd6793d,2,0,-1,-1,0,,0,False,3.4.5,8820
79c5fc91-2683-4385-9bec-0161cddff3f7,5,0,1,0,0,,7000,False,3.4.5,8822
844d2fba-b325-48a9-8eb8-1d24990cbfdb,2,0,-1,-1,0,,0,False,3.4.5,8827
8a5438cf-7455-4fea-8365-d86e20dbbc95,2,0,-1,-1,0,,0,False,3.4.5,8829
97a661cb-f127-4db4-ae23-b05a8bb14406,2,0,-1,-1,0,,0,False,3.4.5,8832
9fdcf962-a2e8-4f3a-b175-ebcdd1ec27ed,2,0,-1,-1,0,,0,False,3.4.5,8834
a49251bb-891e-42d4-818d-190312eb14c1,5,0,1,0,0,,7000,False,3.4.5,8836
a56ba784-c579-4090-b6a2-a99dd551b19f,2,0,-1,-1,0,,0,False,3.4.5,8841
a6328ace-089a-48ba-86b9-4e3a5f49282d,1,0,-1,-1,0,,0,False,3.4.5,8843
b45a28aa-f143-415c-b9d6-5fdc9c484621,4,0,1,0,0,,7000,False,3.4.5,8846
b66c5701-3899-46f3-ad20-ccd2d840032a,2,0,-1,-1,0,,0,False,3.4.5,8850
c13a703d-1aef-4417-9a5c-ce8fd3cb674b,5,0,-1,-1,0,,0,False,3.4.5,8853
c332ad29-0920-48ee-b182-9c842d4a40f9,2,0,-1,-1,0,,0,False,3.4.5,8856
ccf84964-09ac-4ee4-a1ea-439eed0c3736,1,0,-1,-1,0,,0,False,3.4.5,8858
d92361d6-a73f-45b1-bb63-deb19ba7ed8d,2,0,-1,-1,0,,0,False,3.4.5,8860
eb2d4975-139c-4f02-b43b-1ea0cf2865b5,2,0,-1,-1,0,,0,False,3.4.5,8863
f1672b79-7e8b-4d2b-ae2f-dd6d31a6b195,2,0,-1,-1,0,,0,False,3.4.5,8865
f68c957b-7bb6-4b71-a7c6-50bb247841a1,2,0,-1,-1,0,,0,False,3.4.5,8867
f9fb1953-2c82-4a77-bd22-177542b0a9e2,6,0,1,0,0,,7000,False,3.4.5,8870
fc708c46-da4a-45c2-b4f5-bb295d73951f,2,0,-1,-1,0,,0,False,3.4.5,8875
17120b72-a4db-451c-b744-de9e714741ac,19,0,8,2,0,,7000,False,3.4.5,8877
02d5b887-e84e-49c1-ae39-45766940d03e,13,0,2,1,0,,7000,False,3.4.5,8888
059094ef-7bd0-4584-9abb-6d7126a2e644,1,0,-1,-1,0,,0,False,3.4.5,8895
175ea1c1-1c57-4cc7-87d8-6926ff19486d,1,0,-1,-1,0,,0,False,3.4.5,8897
07058992-51ca-4a23-b5a5-4557c76da4b5,1,0,-1,-1,0,,0,False,3.4.5,8899
0915cc72-6876-4b52-a1f6-218d3cee9554,15,1,1,1,1,,0,False,3.4.5,8901
0b6963e0-eb0f-4fe5-af51-2d5d41ab9c7a,57,67,11,77,0,,0,False,3.4.5,8908
0e76f565-490c-4000-b883-62fb5c20be92,5,1,1,1,1,,0,False,3.4.5,8939
0eabfa37-7263-48c6-a56d-269cf1530a62,1,0,-1,-1,0,,0,False,3.4.5,8945
10b942d2-ab43-4225-865a-1f19727f436d,87,0,12,45,0,,7005,True,3.4.5,8947
10be0818-129d-4ba4-a06d-c8bb634a92c2,2,0,-1,-1,0,,0,False,3.4.5,8982
110e9299-92ab-44c6-9d8e-13a615a3e27b,10,0,1,2,0,,7000,False,3.4.5,8986
1441b278-71ea-4eb9-97d6-ea2f9ee4135d,2,0,-1,-1,0,,0,False,3.4.5,8992
1464eff4-b9d1-40c5-84bc-37a35a3061a1,63,0,11,73,0,,7000,False,3.4.5,8994
156a10b2-e931-4749-983c-4b8850889669,15,0,9,8,0,,7000,False,3.4.5,9015
1ca21055-e397-46de-b50d-0ace06ec4509,7,2,1,1,0,,0,False,3.4.5,9025
1ec200de-b249-4769-99c4-2dfd617c811c,76,0,12,35,0,,7005,True,3.4.5,9030
20444f22-04ef-4892-ad28-e794da448451,1,0,-1,-1,0,,0,False,3.4.5,9063
20f9c865-882f-4d5d-b307-57d8f37208c2,2,0,-1,-1,0,,0,False,3.4.5,9064
27182f14-358d-4d2b-b535-789a4b0f126e,12,0,1,2,0,,7000,False,3.4.5,9066
2a5d777f-0199-41a5-a3e0-51a5d64fd996,1,0,-1,-1,0,,0,False,3.4.5,9070
2e1b72ee-24c1-4ec7-bf8c-361999a4334f,6,0,1,1,0,,7000,False,3.4.5,9072
30fc3a03-df73-4ed6-9c9a-7e6b0f6ac6d4,3,0,-1,-1,0,,0,False,3.4.5,9076
33bb7cf9-51df-4952-b460-7cdb85db5ad3,3,0,-1,-1,0,,0,False,3.4.5,9078
425b4761-03b2-40ff-8d3e-464eeacd0baa,1,0,-1,-1,0,,0,False,3.4.5,9080
44d19ba3-e6f3-46e0-80bb-ee6f5a8c3720,9,0,1,2,0,,7000,False,3.4.5,9081
4ac9a0a6-903e-41a6-9bc2-9f5c5fcc0180,12,0,1,2,0,,7000,False,3.4.5,9086
4b9aba42-0285-4684-9f41-867293f993f4,2,0,-1,-1,0,,0,False,3.4.5,9089
7c65fc46-a158-497b-97c3-43563d1c1710,2,0,-1,-1,0,,0,False,3.4.5,9091
4f7b3fae-6914-48b4-8b9d-c452f65ad995,11,0,2,1,0,,7000,False,3.4.5,9093
5222d2f2-a1d6-4434-85b4-a1dcc056ba8a,19,0,1,1,0,,7000,False,3.4.5,9097
5889415f-25b4-461a-9515-e24d424f2d82,3,0,-1,-1,0,,0,False,3.4.5,9106
5be063b6-a9c5-4d4b-b66e-b1bf55b79b56,5,1,1,1,1,,0,False,3.4.5,9108
63735241-d8b9-4f88-9024-7eac2db2f1b5,7,0,2,1,0,,7000,False,3.4.5,9110
648f4cbe-fbee-41ed-9b3d-df83a04ebadc,2,0,-1,-1,0,,0,False,3.4.5,9112
91639a35-9165-41dc-a635-a08be8b717f6,3,0,-1,-1,0,,0,False,3.4.5,9114
69847914-9654-4654-a0e2-26e5743777f4,72,0,7,30,1,,0,False,3.4.5,9117
