ObjectId,LibraryId,IsMasterMeasure,Label,Def,DefExpanded,MatchingMeasure,PropertyLocation,PropertyPath,SheetId,UseCount,Description,CheckResult,FieldNames,MeasureNames,VariableNames,FunctionNames,NonSetTableCount,Error,Hash,Tags,QsdaVersion,MetaId
,UHRJKP,True,TVI Pull Through Rating_2Months,"([Scorecard PullThrough_2Months]/$(vScorecardPullThroughAvg_2Months))*100 ","([Scorecard PullThrough_2Months]/)*100 ",,,qMeasure.qDef,,44,,,,Scorecard PullThrough_2Months,vScorecardPullThroughAvg_2Months,,0,,0,,3.4.5,2035
,bPrEq,True,Self Service Pie Measure,"[$(=SubField(GetFieldSelections(PieMeasures,', ',$(=Count({1}PieMeasures))),', ',1))]",[-],,,qMeasure.qDef,,2,,,,,,"subfield, getfieldselections, count",0,,-680263777,,3.4.5,2036
,0932de80-d311-4180-a70c-b388f26ce391,True,WALTV_InRange,"Num(Sum({$<[FICO Score]={"">350<900""}, [BE DTI Ratio]={""<=70""}, [LTV Ratio]={""<110""}, [Interest Rate]={"">0<15""}>}[LTV Ratio] * [Loan Amount]) 
/ Sum({$<[FICO Score]={"">350<900""}, [BE DTI Ratio]={""<=70""}, [LTV Ratio]={""<110""}, [Interest Rate]={"">0<15""}>}[Loan Amount]),'#,##0.0')","Num(Sum({$<[FICO Score]={"">350<900""}, [BE DTI Ratio]={""<=70""}, [LTV Ratio]={""<110""}, [Interest Rate]={"">0<15""}>}[LTV Ratio] * [Loan Amount]) 
/ Sum({$<[FICO Score]={"">350<900""}, [BE DTI Ratio]={""<=70""}, [LTV Ratio]={""<110""}, [Interest Rate]={"">0<15""}>}[Loan Amount]),'#,##0.0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[LTV Ratio]"" ""[Loan Amount]"" ""[Loan Amount]"" ",,Interest Rate,,"num, sum",0,,-1799510944,,3.4.5,2037
,0cf3befa-d93c-43c4-8af1-d13d47572aaa,True,CD Lender Credits_OutOfRange,"Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[CD Lender Credits]),'$#,##0')","Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[CD Lender Credits]),'$#,##0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[CD Lender Credits]"" ",,Interest Rate,,"num, sum",0,,1408641228,,3.4.5,2038
,1266e703-9360-4ef5-9709-b7362e06cb66,True,Revenue_OutOfRange,"Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[Revenue]),'$#,##0')","Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[Revenue]),'$#,##0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[Revenue]"" ",,"Interest Rate, Revenue",,"num, sum",0,,-1238648744,,3.4.5,2043
,1770cfc2-9023-4c8c-bcbd-47fcd4f17c19,True,WAFICO_OutOfRange,"Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[FICO Score] * [Loan Amount]) 
/ Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[Loan Amount]),'#,##0')","Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[FICO Score] * [Loan Amount]) 
/ Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[Loan Amount]),'#,##0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[FICO Score]"" ""[Loan Amount]"" ""[Loan Amount]"" ",,Interest Rate,,"num, sum",0,,489813926,,3.4.5,2048
,1c739d4f-a4ad-477c-8ac0-731f94e7363b,True,WADTI_OutOfRange,"Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[BE DTI Ratio] * [Loan Amount]) 
/ Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[Loan Amount]),'#,##0.0')","Num(Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[BE DTI Ratio] * [Loan Amount]) 
/ Sum({$<[FICO Score]={""<350""}>+<[FICO Score]={"">900""}>+<[BE DTI Ratio]={"">70""}>+<[LTV Ratio]={"">110""}>+<[Interest Rate]={""<=0""}>+<[Interest Rate]={"">15""}>}[Loan Amount]),'#,##0.0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[BE DTI Ratio]"" ""[Loan Amount]"" ""[Loan Amount]"" ",,Interest Rate,,"num, sum",0,,-943972148,,3.4.5,2053
,3417ddd5-3b60-4a7e-8c38-dfe55438808b,True,CD Lender Credits_All Loans,"Num(Sum([CD Lender Credits]),'$#,##0')","Num(Sum([CD Lender Credits]),'$#,##0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[CD Lender Credits]"" ",,,,"num, sum",0,,330131857,,3.4.5,2058
,3972b2df-33c2-4ad7-82e8-f10fa93dcaa1,True,CD Applied Cure_InRange,"Num(Sum({$<[FICO Score]={"">350<900""}, [BE DTI Ratio]={""<=70""}, [LTV Ratio]={""<110""}, [Interest Rate]={"">0<15""}>}[CD Applied Cure]),'$#,##0')","Num(Sum({$<[FICO Score]={"">350<900""}, [BE DTI Ratio]={""<=70""}, [LTV Ratio]={""<110""}, [Interest Rate]={"">0<15""}>}[CD Applied Cure]),'$#,##0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[CD Applied Cure]"" ",,Interest Rate,,"num, sum",0,,1766358177,,3.4.5,2063
,3af1f08a-7ee1-4429-9990-178705660499,True,Base Buy ($)_All Loans,"Num(Sum([Base Buy ($)]),'$#,##0')","Num(Sum([Base Buy ($)]),'$#,##0')",,,qMeasure.qDef,,1,,"Bad field name(s) ""[Base Buy ($)]"" ",,Base Buy ($),,"num, sum",0,,397486053,,3.4.5,2067
