ObjectId,CalcTime,NumOfColumns,MeasureCount,DimensionCount,NumOfRows,BookmarkApplied,ErrorCode,CalcConditionUnfulfilled,QsdaVersion,MetaId
c390b7b6-3b2c-4ac4-8f13-9d5d69e06940,12,0,3,0,0,,7000,False,3.4.5,69137
7b3e9c44-9031-4465-a55d-f817942ae8b2,9,0,1,2,0,,7000,False,3.4.5,69144
32b94c1b-2489-4533-b4b4-b3572179858b,7,0,1,2,0,,7000,False,3.4.5,69149
af83d1c3-20c5-44c2-98d1-8d27ab83f6e0,16,0,7,10,0,,7000,False,3.4.5,69154
18bbbe76-53cc-4990-8a18-084f8cd8492b,2,0,-1,-1,0,,0,False,3.4.5,69164
a0e7c032-9221-4843-8b2b-cbd262f9cdcd,7,0,1,1,0,,7000,False,3.4.5,69165
1e137cca-3f6f-4e9b-949e-9092f19126b2,6,0,1,1,0,,7000,False,3.4.5,69172
7c9502b3-c281-45a5-be36-8a2863ba3748,2,0,-1,-1,0,,0,False,3.4.5,69177
04c5180f-3b29-4a1b-b173-7cdaa1acb4b5,0,0,-1,-1,0,,0,False,3.4.5,69179
mwJAZf,0,0,-1,-1,0,,0,False,3.4.5,69180
JcUCq,2,0,0,0,1,,0,False,3.4.5,69182
VsLFRkq,0,0,-1,-1,0,,0,False,3.4.5,69185
VKPfK,0,0,-1,-1,0,,0,False,3.4.5,69187
352daf34-3702-49bc-bab8-3251da4f66f3,0,0,-1,-1,0,,0,False,3.4.5,69188
25356593-bb70-47a0-a1a5-ef71c0770dcc,27,0,3,2,0,,7000,False,3.4.5,69190
b266b99d-0f0a-497b-b29e-0584be3bb6fb,16,0,1,2,0,,7000,False,3.4.5,69200
faa2db87-ae0a-4f4a-b220-e5a7d2097aa9,0,0,-1,-1,0,,0,False,3.4.5,69205
JKgMb,5,0,-1,-1,0,,0,False,3.4.5,69206
JRyTLd,2,0,0,0,1,,0,False,3.4.5,69209
frTaG,12,0,10,0,0,,7000,False,3.4.5,69212
XtpNrJ,22,0,4,1,0,,7000,False,3.4.5,69218
c1b30dca-ea5f-4195-af4f-dd69df8f18ba,0,0,-1,-1,0,,0,False,3.4.5,69229
c16027f4-ee87-4cd0-9e72-d186c95862e2,6,0,1,0,0,,7000,False,3.4.5,69230
a24e3ebd-db60-4e9c-80a5-c88ce72ceb1b,6,0,1,0,0,,7000,False,3.4.5,69235
6f62f0b8-c5d4-418e-bc90-21c2f5c230fc,8,0,1,0,0,,7000,False,3.4.5,69239
35338bbb-3eec-41e3-9347-e45365160394,60,0,3,1,0,,7000,False,3.4.5,69244
fkwSJ,3,0,-1,-1,0,,0,False,3.4.5,69259
acrUJTz,11,0,1,1,0,,7000,False,3.4.5,69261
JbBjCD,0,0,-1,-1,0,,0,False,3.4.5,69266
dUjPQWp,0,0,-1,-1,0,,0,False,3.4.5,69268
mxtwHc,65,0,10,1,0,,7000,False,3.4.5,69269
GvqLhw,2,0,0,0,1,,0,False,3.4.5,69290
ec28497f-44d6-43fa-a9f6-d40b5d1aff59,3,0,1,1,0,,7000,False,3.4.5,69293
