Id,Name,Description,Rank,Published,Approved,OwnerName,QsdaVersion,MetaId
704cbb5d-868a-41b8-81bb-2b48284a4e02,Warehouse & Investor Status,,10,False,False,Undetermined,3.4.5,35433
BfKzQH,Lock Stratification | Active Loans,,0.875,False,False,Undetermined,3.4.5,35434
dErgYs,Pipeline Status,,0.5,False,False,Undetermined,3.4.5,35436
e06aac47-f85c-42d1-8b07-e8bee05fbecb,Active Workload,,1.9375,False,False,Undetermined,3.4.5,35439
pGqAZP,Turn Times,,1.875,False,False,Undetermined,3.4.5,35441
pUmhCf,Overview: Final Disposition,,6,False,False,Undetermined,3.4.5,35444
d325a98f-8afe-4b95-8f9a-0dea8faa1ffa,"='Milestone Date Details'
&
' '&
If('$(vMilestoneDateType)' = 'Range',

If('$(vMilestoneDateRange)'='MTD',
'($(=Year(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate]))))&'-'&Month(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate]))))))'

,
If('$(vMilestoneDateRange)'='Last Month',
'($(=Year(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-1),Max([CommonDate]))))&'-'&Month(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-1),Max([CommonDate]))))))'
,
If('$(vMilestoneDateRange)'='QTD',
'$(=Year(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate]))))) '&'Quarter $(=Num(Ceil(Num(Month(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate])))))/3)))'
,
If('$(vMilestoneDateRange)'='Last Quarter',
'$(=Year(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-3),Max([CommonDate]))))) '&'Quarter $(=Num(Ceil(Num(Month(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-3),Max([CommonDate])))))/3)))'
,
If('$(vMilestoneDateRange)'='YTD',
'$(=Year(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate])))))'

,
If('$(vMilestoneDateRange)'='Last Year',
'$(=Year(Date(RangeMin(AddYears(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-1),Max([CommonDate])))))'
))))))
,
'($(=Date(RangeMax(Num(AddMonths(MonthStart(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM'))))),-12)),Min([CommonDate]))))'
&' To '&
'$(=Date(RangeMin(RangeMin(Num(MonthEnd(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))))),$(vCurrentDate)),Max([CommonDate]))))'
&')'
)",,12,False,False,Undetermined,3.4.5,35446
42c3aa34-d89d-4996-9687-9c2ef53cec70,Action Items,,0.75,False,False,Undetermined,3.4.5,35453
0cf49ac5-0eb5-4957-a58c-725709360a55,Historical Fallout,,2,False,False,Undetermined,3.4.5,35454
5327de6e-e5eb-49bf-8c9f-2f8cd268d2ce,Actors,,1,False,False,Undetermined,3.4.5,35456
srcPEm,"='Workflow Conversion'
&
' '&
If('$(vMilestoneDateType)' = 'Range',

If('$(vMilestoneDateRange)'='MTD',
'($(=Year(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate]))))&'-'&Month(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate]))))))'

,
If('$(vMilestoneDateRange)'='Last Month',
'($(=Year(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-1),Max([CommonDate]))))&'-'&Month(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-1),Max([CommonDate]))))))'
,
If('$(vMilestoneDateRange)'='QTD',
'$(=Year(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate]))))) '&'Quarter $(=Num(Ceil(Num(Month(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate])))))/3)))'
,
If('$(vMilestoneDateRange)'='Last Quarter',
'$(=Year(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-3),Max([CommonDate]))))) '&'Quarter $(=Num(Ceil(Num(Month(Date(RangeMin(AddMonths(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-3),Max([CommonDate])))))/3)))'
,
If('$(vMilestoneDateRange)'='YTD',
'$(=Year(Date(RangeMin(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),Max([CommonDate])))))'

,
If('$(vMilestoneDateRange)'='Last Year',
'$(=Year(Date(RangeMin(AddYears(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))),-1),Max([CommonDate])))))'
)))))) & ' [$(vMilestoneDateRange)]'
,'('&
'$(=Date(RangeMax(Num(AddMonths(MonthStart(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM'))))),-12)),Min([CommonDate]))))'
&' To '&
'$(=Date(RangeMin(RangeMin(Num(MonthEnd(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))))),$(vCurrentDate)),Max([CommonDate]))))'
&')'
)




",,1.75,False,False,Undetermined,3.4.5,35458
8f453439-dbff-484e-a45d-a0e57524aaea,Pull Through,,1.9921875,False,False,Undetermined,3.4.5,35474
d547d9c1-f5d4-4b05-b5ec-7064eea9780b,Prioritization of Active Pipeline,,0,False,False,Undetermined,3.4.5,35475
0aff7d54-4786-41be-a741-ff218e22609b,Credit Box Risk Management,,1.984375,False,False,Undetermined,3.4.5,35478
d7af655f-3569-46b1-8d38-5457febeeee1,Estimated Closings and Risk Analysis,,1.96875,False,False,Undetermined,3.4.5,35481
e7319c77-1e51-4872-afde-b4e87efbb457,Custom Reporting,,15,False,False,Undetermined,3.4.5,35484
a311f389-54f1-4f6d-b830-d760822c9242,"='Snapshot | ('&'$(=Date(RangeMin(RangeMin(Num(MonthStart(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))))),$(vCurrentDate)),Max([Date]))))'
&' to '&
'$(=Date(RangeMin(RangeMin(Num(MonthEnd(MakeDate(SubField(vSetDate,'-',1),Num(Month(Date#(SubField(vSetDate,'-',-1),'MMM')))))),$(vCurrentDate)),Max([Date])))))'",,1.7470703,False,False,Undetermined,3.4.5,35487
8f397f33-5b20-41c2-964c-320b311c9c17,Agency,,8,False,False,Undetermined,3.4.5,35497
ad273c1f-6c56-436d-8cbf-d50952a254fd,"=repeat(chr(160),2)&'Loan Detail | Started Dates from '& min([Started Date]) & ' to ' & max([Started Date])",,14,False,False,Undetermined,3.4.5,35500
