Id,Type,Title,LibraryId,VizClass,IsExtensionMissing,IsMasterVisualization,Name,SheetName,SheetId,CalcTime,BookmarkApplied,NumOfColumns,NumOfRows,UseCount,CalcConditionUnfulfilled,QsdaVersion,MetaId
c390b7b6-3b2c-4ac4-8f13-9d5d69e06940,qlik-multi-kpi,Warehouse KPIs,d8ce5649-97ab-4e5a-a7df-9c8cb4e4f4ef,Extension,False,True,qlik-multi-kpi / Warehouse KPIs (c390b7b6-3b2c-4ac4-8f13-9d5d69e06940),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0.012,,0,0,1,False,3.4.5,65963
7b3e9c44-9031-4465-a55d-f817942ae8b2,barchart,"=repeat(chr(160),2) & 'Investor Status by $(vDateToggle1) Year Month: ' & '$(vMeasure)'",75004252-53d7-4969-a19e-740392f0b0df,Native,False,True,"barchart / =repeat(chr(160),2) & 'Investor Status by $(vDateToggle1) Year Month: ' & '$(vMeasure)' (7b3e9c44-9031-4465-a55d-f817942ae8b2)",<Master Library>,,0.009,,0,0,0,False,3.4.5,65964
32b94c1b-2489-4533-b4b4-b3572179858b,barchart,"=repeat(chr(160),2) & 'Investor Status by W-H Days Grouping'",18d4cc41-f3ce-4619-9e2b-a2e7e5cff5bc,Native,False,True,"barchart / =repeat(chr(160),2) & 'Investor Status by W-H Days Grouping' (32b94c1b-2489-4533-b4b4-b3572179858b)",<Master Library>,,0.007,,0,0,0,False,3.4.5,65965
af83d1c3-20c5-44c2-98d1-8d27ab83f6e0,table,=chr(160) & chr(160) & 'Investor Status Loan Detail',cedc5567-c1c3-4220-bd82-0fc69c609a14,Native,False,True,table / =chr(160) & chr(160) & 'Investor Status Loan Detail' (af83d1c3-20c5-44c2-98d1-8d27ab83f6e0),<Master Library>,,0.016,,0,0,0,False,3.4.5,65966
18bbbe76-53cc-4990-8a18-084f8cd8492b,container,Warehouse & Investor Status: Container 1,8fe6766e-f6b4-4034-bcd9-d57fe9c3d0a5,Native,False,True,container / Warehouse & Investor Status: Container 1 (18bbbe76-53cc-4990-8a18-084f8cd8492b),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0.002,,0,0,1,False,3.4.5,65967
a0e7c032-9221-4843-8b2b-cbd262f9cdcd,barchart,=chr(160) & chr(160) & 'Warehouse by ' & '$(vMeasure)',95c40996-1f8c-4775-a44e-189ff9bb272c,Native,False,True,barchart / =chr(160) & chr(160) & 'Warehouse by ' & '$(vMeasure)' (a0e7c032-9221-4843-8b2b-cbd262f9cdcd),<Master Library>,,0.007,,0,0,0,False,3.4.5,65968
1e137cca-3f6f-4e9b-949e-9092f19126b2,barchart,=chr(160) & chr(160) & 'Investors by ' & '$(vMeasure)',05a131f4-fc08-4731-8401-41842b2f22b3,Native,False,True,barchart / =chr(160) & chr(160) & 'Investors by ' & '$(vMeasure)' (1e137cca-3f6f-4e9b-949e-9092f19126b2),<Master Library>,,0.006,,0,0,0,False,3.4.5,65970
7c9502b3-c281-45a5-be36-8a2863ba3748,container,Warehouse & Investor Status: Container 2,1ded4aff-3794-45c6-bb8c-f3fa8452eaf0,Native,False,True,container / Warehouse & Investor Status: Container 2 (7c9502b3-c281-45a5-be36-8a2863ba3748),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0.002,,0,0,1,False,3.4.5,65972
04c5180f-3b29-4a1b-b173-7cdaa1acb4b5,qlik-variable-input,chr(32),53ebe991-6151-4a53-a83e-06ea0a59977f,Extension,False,True,qlik-variable-input / chr(32) (04c5180f-3b29-4a1b-b173-7cdaa1acb4b5),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0,,0,0,1,False,3.4.5,65973
mwJAZf,qlik-variable-input,Measure,394c4a5a-b899-4016-a9bf-d83d0ba0df8e,Extension,False,True,qlik-variable-input / Measure (mwJAZf),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0,,0,0,1,False,3.4.5,65974
JcUCq,text-image,Warehouse & Investor Status: Help Text,8937381e-0a3d-4de1-ae4b-5a771a0602aa,Native,False,True,text-image / Warehouse & Investor Status: Help Text (JcUCq),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0.002,,0,1,1,False,3.4.5,65976
VsLFRkq,CustomSheetMenu,Header: Filters DEFAULT,3cf93945-553d-4d50-b96a-9fc34d9de5aa,Extension,True,True,CustomSheetMenu / Header: Filters DEFAULT (VsLFRkq),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0,,0,0,1,False,3.4.5,65977
VKPfK,qlik-variable-input,Date Range Calculation Type,,Extension,False,False,qlik-variable-input / Date Range Calculation Type (VKPfK),Warehouse & Investor Status,704cbb5d-868a-41b8-81bb-2b48284a4e02,0,,0,0,1,False,3.4.5,65979
352daf34-3702-49bc-bab8-3251da4f66f3,qlik-variable-input,,,Extension,False,True,qlik-variable-input / [no title] (352daf34-3702-49bc-bab8-3251da4f66f3),<Master Library>,,0,,0,0,0,False,3.4.5,65981
