ObjectId,CalcTime,NumOfColumns,MeasureCount,DimensionCount,NumOfRows,BookmarkApplied,ErrorCode,CalcConditionUnfulfilled,QsdaVersion,MetaId
acf0b76b-ac60-4256-8b28-df3efba92ba3,33,0,10,1,0,,7000,False,3.4.5,16583
a5fcd51f-1c30-46ab-aa95-cdd5f0b8191e,0,0,-1,-1,0,,0,False,3.4.5,16612
EjFH,3,0,-1,-1,0,,0,False,3.4.5,16616
RnTsFp,4,0,5,1,0,,7000,False,3.4.5,16617
mAXpvMS,11,0,3,1,0,,7000,False,3.4.5,16618
JmYfBFh,8,0,3,1,0,,7000,False,3.4.5,16622
QPKSmr,0,0,-1,-1,0,,0,False,3.4.5,16623
NWUhZYH,11,0,10,1,0,,7000,False,3.4.5,16624
SQwzwLG,8,0,8,0,0,,7000,False,3.4.5,16628
RAwBy,6,0,1,1,0,,7000,False,3.4.5,16632
7041fe84-1b1f-465f-9e9f-7317dd23b9fe,9,0,1,1,0,,7000,False,3.4.5,16633
f9ab36ec-0cd9-4ac0-939a-2c0fa55be664,17,0,6,14,0,,7000,False,3.4.5,16634
WJbNeJ,5,0,-1,-1,0,,0,False,3.4.5,16643
fAaSkS,0,0,-1,-1,0,,0,False,3.4.5,16644
APmKQ,0,0,-1,-1,0,,0,False,3.4.5,16645
FmmWyC,0,0,-1,-1,0,,0,False,3.4.5,16646
1e949d91-61d5-4022-904e-7515e1fa4eff,0,0,-1,-1,0,,0,False,3.4.5,16647
8dd90dab-3dfa-49e7-8d6f-ac79f5242341,0,0,-1,-1,0,,0,False,3.4.5,16648
924870a6-d645-462c-b451-779250e34c59,0,0,-1,-1,0,,0,False,3.4.5,16658
66bbd1aa-76ee-4c9b-b2fd-d7bc14344049,0,0,-1,-1,0,,0,False,3.4.5,16659
3aaea2e1-832d-472b-9dc0-fc95d5236f35,0,0,-1,-1,0,,0,False,3.4.5,16660
cbb82621-17e0-41af-804f-3470789e76aa,0,0,-1,-1,0,,0,False,3.4.5,16661
fa4c4c86-1aec-46f0-9601-0418c531dc1e,0,0,-1,-1,0,,0,False,3.4.5,16662
22d7c5ea-de73-4cbb-bdc5-db4043c1ed66,0,0,-1,-1,0,,0,False,3.4.5,16664
82dfdbf2-e8ba-4d42-9828-e41c027091ef,0,0,-1,-1,0,,0,False,3.4.5,16665
yJpGu,0,0,-1,-1,0,,0,False,3.4.5,16666
ef1f9142-807c-4bad-a00e-6b01fc16a598,7,1,-1,-1,0,,0,False,3.4.5,16667
TUQC,0,0,-1,-1,0,,0,False,3.4.5,16668
QwvpN,0,0,-1,-1,0,,0,False,3.4.5,16669
4f4ef833-7daf-415b-83e0-ec9414605d57,64,0,12,35,0,,7005,True,3.4.5,16670
472bcc93-fad3-42f0-aae9-a76d56a34c6d,81,0,12,45,0,,7005,True,3.4.5,18341
QpZEt,2,0,-1,-1,0,,0,False,3.4.5,18342
gmRsU,0,0,-1,-1,0,,0,False,3.4.5,18343
PBxWK,0,0,-1,-1,0,,0,False,3.4.5,18344
dtrLDqJ,0,0,-1,-1,0,,0,False,3.4.5,18345
2ea48498-64c5-4851-8905-36cd50844264,4,1,-1,-1,0,,0,False,3.4.5,18346
AEBZgm,0,0,-1,-1,0,,0,False,3.4.5,18347
b5178616-7b4c-4bd3-9f26-85e320df0683,4,1,-1,-1,0,,0,False,3.4.5,18348
CmXJp,0,0,-1,-1,0,,0,False,3.4.5,18349
WMmrj,32,0,1,0,0,,7000,False,3.4.5,18350
7a3df644-9365-4e0d-b464-641b2ec184f5,0,0,-1,-1,0,,0,False,3.4.5,18351
4e5a9f80-359e-4d9a-a302-8a27fe9f40af,40,0,1,2,0,,7000,False,3.4.5,18352
99cec665-0c5f-4dd8-b01b-2d24324d9dac,38,0,1,2,0,,7000,False,3.4.5,18353
9a5c3cca-6150-48bb-a2eb-c1c209aea4c4,45,0,11,1,0,,7000,False,3.4.5,18354
30b9852f-3245-4923-9c3c-8b6e5672ebed,5,0,1,1,0,,7000,False,3.4.5,18355
73055b44-dfa4-404c-89cf-88264cdf5883,5,0,1,1,0,,7000,False,3.4.5,18356
3b2c90cc-5beb-44e1-aa78-6b5d12070091,5,0,1,1,0,,7000,False,3.4.5,18357
68bea106-b349-4156-853c-f016752589ab,13,0,5,1,0,,7000,False,3.4.5,18358
5387d3e9-80d7-45f0-bbca-b130d4d0c9b0,12,0,5,1,0,,7000,False,3.4.5,18359
0bb29311-eacc-4f20-9dca-85d0f6087c86,5,0,1,1,0,,7000,False,3.4.5,18360
mDmqYGf,7,0,-1,-1,0,,0,False,3.4.5,18361
ZbuTS,0,0,-1,-1,0,,0,False,3.4.5,18362
fEMspqQ,0,0,-1,-1,0,,0,False,3.4.5,18363
96d7fae7-bdc0-418e-a4d4-bfab5e0fc5fe,0,0,-1,-1,0,,0,False,3.4.5,18364
YeRA,0,0,-1,-1,0,,0,False,3.4.5,18365
EJEsCq,0,0,-1,-1,0,,0,False,3.4.5,18366
VpkSKyd,0,0,-1,-1,0,,0,False,3.4.5,18367
vbPXp,0,0,-1,-1,0,,0,False,3.4.5,18368
pnyFNZ,78,0,36,3,0,,7000,False,3.4.5,18369
HJtQhm,0,0,-1,-1,0,,0,False,3.4.5,18370
RNPnVJ,9,0,7,1,0,,7000,False,3.4.5,18371
XdExhD,13,0,7,1,0,,7000,False,3.4.5,18372
mqNLpBw,0,0,-1,-1,0,,0,False,3.4.5,18373
mMPMje,0,0,-1,-1,0,,0,False,3.4.5,18374
DzKaG,9,0,7,1,0,,7000,False,3.4.5,18375
SdTMqh,8,0,7,1,0,,7000,False,3.4.5,18376
Xvpmkrx,0,0,-1,-1,0,,0,False,3.4.5,18377
9b34045b-dbc2-4baa-a2c6-49d0f8a8ad74,12,0,1,1,0,,7000,False,3.4.5,18378
0c975e1f-218f-4ebe-b48e-2b01d8631341,15,0,1,2,0,,7000,False,3.4.5,18379
