LibraryId,ObjectId,IsMasterDimension,Label,Grouping,Def,Fieldname,CheckResult,Description,DimensionType,HasDuplicateLabel,HasDuplicateDef,HasDuplicate,IsUsed,UseCount,PropertyPath,PropertyLocation,Tags,QsdaVersion,MetaId
PgMjm,,True,='Active Aging Range',GRP_NX_NONE,Active Aging Range,,"Bad field name(s) ""[Active Aging Range]"" ",,Named,False,False,False,False,0,,,,3.4.5,6
7a7379d8-d6a6-43a2-9efa-2f7dc5b0a27a,,True,Investor Purchase Date Drill,GRP_NX_HIEARCHY,"Investor Purchase Year, Investor Purchase YearMonth, Investor Purchase Date",,"Bad field name(s) ""[Investor Purchase Year]"" , Bad field name(s) ""[Investor Purchase YearMonth]"" , Bad field name(s) ""[Investor Purchase Date]"" ",,Named,False,False,False,False,0,,,,3.4.5,8
03553e04-f99b-426e-82f3-5c883fe0e21e,,True,Investor Lock Date,GRP_NX_NONE,Investor Lock Date,,"Bad field name(s) ""[Investor Lock Date]"" ",,Named,False,False,False,True,1,,,cr_group_Dates,3.4.5,9
0925232a-eb3e-4d96-95a5-4647271efd77,,True,Loan Estimate Received Date,GRP_NX_NONE,Loan Estimate Received Date,,"Bad field name(s) ""[Loan Estimate Received Date]"" ",,Named,False,False,False,True,1,,,cr_group_Dates,3.4.5,10
12dcd63e-fde0-40ec-8792-2ef125b41940,,True,LO-YearMonth Drill,GRP_NX_HIEARCHY,"Loan Officer, =[$(vDateToggle1) YearMonth]",,"Bad field name(s) ""[Loan Officer]"" ",,Named,False,False,False,False,0,,,,3.4.5,11
1cb794bb-c68e-4e94-919f-78371865ab9c,,True,UW Suspended Date Drill,GRP_NX_HIEARCHY,"UW Suspended Year, UW Suspended YearMonth, UW Suspended Date",,"Bad field name(s) ""[UW Suspended Year]"" , Bad field name(s) ""[UW Suspended YearMonth]"" , Bad field name(s) ""[UW Suspended Date]"" ",,Named,False,False,False,False,0,,,,3.4.5,12
1ed70fb7-3ee8-4ec7-9bb4-b914ebdc1709,,True,Loan Estimate Sent Date Drill,GRP_NX_HIEARCHY,"Loan Estimate Sent Year, Loan Estimate Sent YearMonth, Loan Estimate Sent Date",,"Bad field name(s) ""[Loan Estimate Sent Year]"" , Bad field name(s) ""[Loan Estimate Sent YearMonth]"" , Bad field name(s) ""[Loan Estimate Sent Date]"" ",,Named,False,False,False,False,0,,,,3.4.5,13
20658b0f-ecd2-4dbd-ba24-a5517fbee014,,True,Closer,GRP_NX_NONE,Closer,,"Bad field name(s) ""[Closer]"" ",,Named,False,False,False,True,1,,,cr_group_Actors,3.4.5,14
2104b38e-62e1-47cf-af5c-18ce20246eaa,,True,Closing Disclosure Received Date,GRP_NX_NONE,Closing Disclosure Received Date,,"Bad field name(s) ""[Closing Disclosure Received Date]"" ",,Named,False,False,False,True,1,,,cr_group_Dates,3.4.5,15
29d1da82-eda9-4e1b-b5f5-3c603441ae0c,,True,YearMonth to Date Drill,GRP_NX_HIEARCHY,"YearMonth2MonthRange, YearMonth, Date",,"Bad field name(s) ""[YearMonth2MonthRange]"" , Bad field name(s) ""[YearMonth]"" , Bad field name(s) ""[Date]"" ",Drill down from Common Date YearMonth to Date. Group YearMonth for dates prior to 2 month look back.,Named,False,False,False,False,0,,,,3.4.5,16
