Id,Type,Title,LibraryId,VizClass,IsExtensionMissing,IsMasterVisualization,Name,SheetName,SheetId,CalcTime,BookmarkApplied,NumOfColumns,NumOfRows,UseCount,CalcConditionUnfulfilled,QsdaVersion,MetaId
acf0b76b-ac60-4256-8b28-df3efba92ba3,pivot-table,"='$(=if(vCompanyDetailDateRange='MonthStart','Month to Date','Year to Date')) Final Disposition'",81983f28-83f9-4de4-a246-9b7cb43813c4,Native,False,True,"pivot-table / ='$(=if(vCompanyDetailDateRange='MonthStart','Month to Date','Year to Date')) Final Disposition' (acf0b76b-ac60-4256-8b28-df3efba92ba3)",<Master Library>,,0.033,,0,0,0,False,3.4.5,10054
a5fcd51f-1c30-46ab-aa95-cdd5f0b8191e,qlik-variable-input,Month/Year to Date Final Disposition Buttons,4f6d74e9-3cef-4e84-8bf0-58efafd56980,Extension,False,True,qlik-variable-input / Month/Year to Date Final Disposition Buttons (a5fcd51f-1c30-46ab-aa95-cdd5f0b8191e),<Master Library>,,0,,0,0,0,False,3.4.5,10055
EjFH,sn-layout-container,"='$(=if(vCompanyDetailDateRange='MonthStart','Month to Date','Year to Date')) Final Disposition'",4474e4a6-e47a-4712-9545-7928b68ce434,Extension,False,True,"sn-layout-container / ='$(=if(vCompanyDetailDateRange='MonthStart','Month to Date','Year to Date')) Final Disposition' (EjFH)",Company Detail,ad010eb5-119b-4b00-986f-aee1b56d512b,0.003,,0,0,1,False,3.4.5,10056
RnTsFp,pivot-table,Active Loans Lock Status,1ff7301b-6bb8-4eae-8754-b2b3215f3558,Native,False,True,pivot-table / Active Loans Lock Status (RnTsFp),Company Detail,ad010eb5-119b-4b00-986f-aee1b56d512b,0.004,,0,0,1,False,3.4.5,10057
mAXpvMS,table,Pull Through and Turn Time,1cfb80db-b5e6-457c-832b-bc0ca8884778,Native,False,True,table / Pull Through and Turn Time (mAXpvMS),Company Detail,ad010eb5-119b-4b00-986f-aee1b56d512b,0.011,,0,0,1,False,3.4.5,10058
JmYfBFh,table,New Opportunities,e954c11b-90d2-4398-afbc-9cdb92bbc5b1,Native,False,True,table / New Opportunities (JmYfBFh),Company Detail,ad010eb5-119b-4b00-986f-aee1b56d512b,0.008,,0,0,1,False,3.4.5,10059
QPKSmr,CustomSheetMenu,Header: More Options DEFAULT,74dd1fda-51b2-43b9-980e-9f1d501045fc,Extension,True,True,CustomSheetMenu / Header: More Options DEFAULT (QPKSmr),Company Detail,ad010eb5-119b-4b00-986f-aee1b56d512b,0,,0,0,1,False,3.4.5,10060
NWUhZYH,pivot-table,Projected Closings,e50f5146-eb01-4732-aab6-e85d4fdf4a2f,Native,False,True,pivot-table / Projected Closings (NWUhZYH),Company Detail,ad010eb5-119b-4b00-986f-aee1b56d512b,0.011,,0,0,1,False,3.4.5,10061
SQwzwLG,sn-text,"=pick(match(vLock,'No','Yes','*'),'Active LOCKED Loans','Active NOT LOCKED Loans','Active TOTAL Loans')",8c7f6835-1fbc-41f3-aede-2f0a089cd572,Extension,False,True,"sn-text / =pick(match(vLock,'No','Yes','*'),'Active LOCKED Loans','Active NOT LOCKED Loans','Active TOTAL Loans') (SQwzwLG)",Active Loans,06737f2c-0189-4239-aef4-68ed1406584a,0.008,,0,0,1,False,3.4.5,10062
RAwBy,piechart,"=if(vDimension='Channel_ExcludeCorrespondent','Channel','$(vDimension)')",73ebd36f-8e81-44b8-a46d-2178c1c902ab,Native,False,True,"piechart / =if(vDimension='Channel_ExcludeCorrespondent','Channel','$(vDimension)') (RAwBy)",Active Loans,06737f2c-0189-4239-aef4-68ed1406584a,0.006,,0,0,1,False,3.4.5,10063
