Loan Number,Sent To Closing
2301078850,2/10/2023 12:00:00 AM
2301078851,3/21/2023 12:00:00 AM
2301078852,
2301078853,
2301078854,1/25/2023 12:00:00 AM
2301078856,2/10/2023 12:00:00 AM
2301078857,2/2/2023 12:00:00 AM
2301078859,2/8/2023 12:00:00 AM
2301078860,2/6/2023 12:00:00 AM
2301078861,
2301078863,2/7/2023 12:00:00 AM
2301078864,
2301078865,
2301078866,
2301078867,
2301078868,
2301078869,2/9/2023 12:00:00 AM
2301078871,2/10/2023 12:00:00 AM
2301078876,
2301078877,
2301078878,
2301078879,6/16/2023 12:00:00 AM
2301078880,2/7/2023 12:00:00 AM
2301078881,2/10/2023 12:00:00 AM
2301078882,1/14/2023 12:00:00 AM
2301078885,
2301078886,
2301078887,
2301078889,
2301078894,
2301078896,
2301078898,
2301078901,4/26/2023 12:00:00 AM
2301078904,
2301078905,
2301078907,
2301078910,
2301078911,5/26/2023 12:00:00 AM
2301078913,
2301078914,
2301078915,
2301078919,
2301078922,
2301078926,1/26/2023 12:00:00 AM
2301078928,
2301078929,
2301078932,
2301078933,2/3/2023 12:00:00 AM
2301078943,
2301078945,2/13/2023 12:00:00 AM
2301078946,
2301078947,1/28/2023 12:00:00 AM
2301078948,
2301078951,
2301078953,
2301078957,
2301078961,3/10/2023 12:00:00 AM
2301078964,
2301078965,2/22/2023 12:00:00 AM
2301078966,1/27/2023 12:00:00 AM
2301078968,
2301078970,
2301078971,2/1/2023 12:00:00 AM
2301078972,4/25/2023 12:00:00 AM
2301078973,
2301078974,2/13/2023 12:00:00 AM
2301078975,
2301078976,
2301078980,1/28/2023 12:00:00 AM
2301078981,3/3/2023 12:00:00 AM
2301078982,2/10/2023 12:00:00 AM
2301078983,
2301078984,
2301078988,
2301078991,2/3/2023 12:00:00 AM
2301078994,3/17/2023 12:00:00 AM
2301078995,
2301078996,
2301078997,
2301078999,
2301079000,
2301079001,
2301079002,
2301079004,
2301079005,
2301079006,
2301079009,
2301079011,
2301079014,
2301079015,
2301079016,
2301079017,
2301079018,
2301079019,
2301079020,1/31/2023 12:00:00 AM
2301079023,
2301079026,
2301079028,
2301079032,
2301079035,2/15/2023 12:00:00 AM
2301079036,
2301079037,5/11/2023 12:00:00 AM
2301079038,
2301079039,
2301079041,
2301079043,
2301079044,
2301079047,
2301079048,
2301079049,1/27/2023 12:00:00 AM
2301079050,1/27/2023 12:00:00 AM
2301079054,2/10/2023 12:00:00 AM
2301079055,3/9/2023 12:00:00 AM
2301079057,
2301079058,
2301079060,
2301079064,2/15/2023 12:00:00 AM
2301079065,2/4/2023 12:00:00 AM
2301079067,
2301079069,
2301079071,
2301079073,1/28/2023 12:00:00 AM
2301079078,2/4/2023 12:00:00 AM
2301079079,
2301079080,
2301079082,3/29/2023 12:00:00 AM
2301079084,
2301079086,
2301079087,
2301079089,5/5/2023 12:00:00 AM
2301079092,1/30/2023 12:00:00 AM
2301079094,3/31/2023 12:00:00 AM
2301079096,
2301079097,
2301079099,
2301079100,
2301079101,
2301079105,
2301079106,
2301079107,3/3/2023 12:00:00 AM
2301079109,
2301079113,
2301079115,
2301079117,
2301079119,
2301079120,
2301079121,1/27/2023 12:00:00 AM
2301079123,2/9/2023 12:00:00 AM
2301079124,4/7/2023 12:00:00 AM
2301079127,
2301079128,
2301079129,2/16/2023 12:00:00 AM
2301079131,
2301079132,
2301079133,
2301079138,
2301079140,6/6/2023 12:00:00 AM
2301079141,
2301079143,2/28/2023 12:00:00 AM
2301079144,
2301079145,
2301079146,
2301079147,
2301079149,
2301079150,3/14/2023 12:00:00 AM
2301079151,
2301079152,3/24/2023 12:00:00 AM
2301079153,
2301079154,
2301079157,3/29/2023 12:00:00 AM
2301079158,
2301079160,
2301079161,3/16/2023 12:00:00 AM
2301079162,6/9/2023 12:00:00 AM
2301079164,
2301079166,7/13/2023 12:00:00 AM
2301079167,
2301079171,
2301079173,2/6/2023 12:00:00 AM
2301079176,5/1/2023 12:00:00 AM
2301079178,3/11/2023 12:00:00 AM
2301079181,
2301079182,2/28/2023 12:00:00 AM
2301079184,3/27/2023 12:00:00 AM
2301079185,3/31/2023 12:00:00 AM
2301079186,
2301079191,
2301079195,
2301079197,2/9/2023 12:00:00 AM
2301079198,
2301079199,
2301079201,6/26/2023 12:00:00 AM
2301079202,2/24/2023 12:00:00 AM
2301079203,
2301079204,3/1/2023 12:00:00 AM
2301079206,
2301079210,
2301079211,4/7/2023 12:00:00 AM
