lei,name,legalName,dba,nmls,nmlsNumber,type,dataYear,orig,dollarVol,branches,states,fico,ltv,dti,rate,hmdaRate,rateSource,products,conf,ob_totalOriginatedUnits2025,ob_mergedInsightsFromYear,ob_Conventional_originated,ob_Conventional_approximate,ob_Conventional_hmdaLoanType,ob_Conventional_note,ob_FHA_originated,ob_FHA_approximate,ob_FHA_hmdaLoanType,ob_FHA_note,ob_VA_originated,ob_VA_approximate,ob_VA_hmdaLoanType,ob_VA_note,ob_USDA_originated,ob_USDA_approximate,ob_USDA_hmdaLoanType,ob_USDA_note,ob_Jumbo_originated,ob_Jumbo_approximate,ob_Jumbo_hmdaLoanType,ob_Jumbo_note,ob_HELOC_originated,ob_HELOC_approximate,ob_HELOC_hmdaLoanType,ob_HELOC_note,dec_available,dec_mergedFromReportingYear,dec_totalApplications,dec_deniedApplications,dec_withdrawnApplications,dec_incompleteApplications,dec_approvedNotAccepted,dec_purchasedLoans,dec_denialReasonsSuppressedCount,dec_denialReasonsJson,dec_note
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC","Rocket Mortgage, LLC",,3030,3030,IMB,2025,429332,116164690000,,50,,,,6.75,,estimated,Conventional|VA|FHA|Jumbo|HELOC,95,429332,2024,266170,false,1,,66721,false,2,,28180,false,3,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,553854,82289,37829,490,7924,2867,0,{},
549300HW662MN1WU8550,United Wholesale Mortgage,United Wholesale Mortgage,,3038,3038,IMB,2025,422120,164317560000,,50,,,,6.75,,estimated,Conventional|VA|Jumbo|FHA|USDA|HELOC,95,422120,2024,237163,false,1,,74402,false,2,,53385,false,3,,1128,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,493978,57760,46939,13176,7692,2333,0,{},
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, INC.","CROSSCOUNTRY MORTGAGE, INC.",,3029,3029,IMB,2025,125099,49143345000,,50,,,,6.75,,estimated,Conventional|VA|FHA|HELOC|Jumbo|USDA,95,125099,2024,69065,false,1,,22994,false,2,,9128,false,3,,707,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,157258,3716,48190,1732,1050,140,0,{},
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC","PENNYMAC LOAN SERVICES, LLC",,,,IMB,2025,100816,35392150000,,50,,,,6.75,,estimated,Conventional|FHA|VA|Jumbo|USDA,90,100816,2024,37173,false,1,,15078,false,2,,15034,false,3,,9,false,4,,33522,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,384816,18218,13152,32803,3022,249526,0,{},
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",,,,IMB,2025,94243,66287975000,,50,,,,6.75,,estimated,Conventional|Jumbo|FHA|VA|HELOC,88,94243,2024,78522,false,1,,1372,false,2,,850,false,3,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,150113,12095,21588,10131,1932,20456,0,{},
549300AG64NHILB7ZP05,"Loandepot.Com, LLC","Loandepot.Com, LLC",,,,IMB,2025,91730,25676520000,,50,,,,6.75,,estimated,Conventional|FHA|VA|Jumbo|USDA|HELOC,88,91730,2024,50042,false,1,,20996,false,2,,8243,false,3,,137,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,142924,33298,22538,5783,1625,262,0,{},
B4TYDEB6GKMZO031MB27,"Bank of America, National Association","Bank of America, National Association",,,,IMB,2025,88530,37288470000,,50,,,,6.75,,estimated,Conventional|HELOC|Jumbo|FHA|VA,87,88530,2024,82690,false,1,,412,false,2,,63,false,3,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,233637,80920,13639,36451,4180,9237,0,{},
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY,GUILD MORTGAGE COMPANY,,,,IMB,2025,86111,26867785000,,50,,,,6.75,,estimated,Conventional|Jumbo|FHA|HELOC|VA|USDA,87,86111,2024,50317,false,1,,17932,false,2,,5952,false,3,,1155,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,109550,4014,18198,472,7274,2086,0,{},
549300DD5QQUHO6PCH70,"Mortgage Research Center, LLC","Mortgage Research Center, LLC",,,,IMB,2025,82764,27465810000,,50,,,,6.75,,estimated,VA|FHA|Conventional|USDA|Jumbo,86,82764,2024,3308,false,1,,2139,false,2,,68183,false,3,,129,false,4,,9005,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,147700,23564,38037,11037,1058,43,0,{},
5493003GQDUH26DNNH17,Navy Federal Credit Union,Navy Federal Credit Union,,,,IMB,2025,80547,18542805000,,50,,,,6.75,,estimated,Conventional|VA|Jumbo|HELOC,86,80547,2024,64929,false,1,,,,,,17093,false,3,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,182680,43754,43374,10736,1609,391,0,{},
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,U.S. Bank National Association,,,,IMB,2025,74635,33007735000,,50,,,,6.75,,estimated,Conventional|Jumbo|HELOC|FHA|VA|USDA,84,74635,2024,71464,false,1,,1761,false,2,,1191,false,3,,96,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,202480,54155,18416,4896,1815,48686,0,{},
549300MGPZBLQDIL7538,Fairway Independent Mortgage Corporation,Fairway Independent Mortgage Corporation,,,,IMB,2025,74450,24539200000,,50,,,,6.75,,estimated,FHA|Conventional|VA|USDA|Jumbo|HELOC,84,74450,2024,51114,false,1,,16363,false,2,,6184,false,3,,740,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,102501,4794,19475,523,653,246,0,{},
549300U3721PJGQZYY68,"GUARANTEED RATE, INC.","GUARANTEED RATE, INC.",,,,IMB,2025,70579,29188185000,,50,,,,6.75,,estimated,FHA|Conventional|Jumbo|VA|USDA|HELOC,84,70579,2024,47349,false,1,,8973,false,2,,6218,false,3,,280,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,124492,6368,27593,2022,1786,23814,0,{},
549300GKFNPRWNS0GF29,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC.",,,,IMB,2025,70353,27465805000,,50,,,,6.75,,estimated,Conventional|HELOC|USDA|FHA|VA|Jumbo,84,70353,2024,37214,false,1,,11355,false,2,,6103,false,3,,4222,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,100398,3905,17003,891,5838,10613,0,{},
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,FREEDOM MORTGAGE CORPORATION,,,,IMB,2025,69982,24124350000,,50,,,,6.75,,estimated,VA|FHA|Conventional|Jumbo|USDA,83,69982,2024,6726,false,1,,23149,false,2,,27449,false,3,,21,false,4,,12637,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,252504,12324,25081,21202,6562,129990,0,{},
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.","DHI MORTGAGE COMPANY, LTD.",,,,IMB,2025,69159,23416035000,,36,,,,6.75,,estimated,Conventional|FHA|VA|Jumbo|USDA,83,69159,2024,28056,false,1,,30128,false,2,,11681,false,3,,808,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,96056,9920,14201,397,734,131,0,{},
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association","Citizens Bank, National Association",,,,IMB,2025,68902,20979770000,,50,,,,6.75,,estimated,VA|FHA|Conventional|HELOC|Jumbo,83,68902,2024,54344,false,1,,646,false,2,,192,false,3,,1,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,116492,31030,7224,3957,1881,17209,0,{},
549300FNXYY540N23N64,NEWREZ LLC,NEWREZ LLC,,,,IMB,2025,66567,21978475000,,50,,,,6.75,,estimated,Conventional|USDA|FHA|Jumbo|VA,83,66567,2024,33431,false,1,,9596,false,2,,8556,false,3,,538,false,4,,14446,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,248242,28631,37001,21885,941,107379,0,{},
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association","PNC Bank, National Association",,,,IMB,2025,61280,18880290000,,50,,,,6.75,,estimated,Conventional|HELOC|Jumbo|FHA|VA|USDA,82,61280,2024,56057,false,1,,545,false,2,,213,false,3,,15,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,127108,32270,13131,7360,1998,13659,0,{},
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC","MOVEMENT MORTGAGE, LLC",,,,IMB,2025,57781,19856695000,,50,,,,6.75,,estimated,Conventional|VA|FHA|Jumbo|HELOC|USDA,81,57781,2024,42077,false,1,,11646,false,2,,7054,false,3,,478,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,85481,3711,9119,2494,8902,0,0,{},
549300E2UX99HKDBR481,"Broker Solutions, Inc.","Broker Solutions, Inc.",,,,IMB,2025,57460,16527070000,,50,,,,6.75,,estimated,Conventional|FHA|VA|HELOC|Jumbo|USDA,81,57460,2024,29434,false,1,,14861,false,2,,4028,false,3,,316,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,118479,13112,29434,26305,987,0,0,{},
549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC","LENNAR MORTGAGE, LLC",,,,IMB,2025,56951,19939215000,,29,,,,6.75,,estimated,FHA|VA|Conventional|Jumbo|USDA,81,56951,2024,33727,false,1,,16085,false,2,,5475,false,3,,243,false,4,,1421,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,75233,9350,9760,235,262,96,0,{},
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,NATIONSTAR MORTGAGE LLC,,,,IMB,2025,52217,9993675000,,50,,,,6.75,,estimated,Conventional|FHA|VA|Jumbo,80,52217,2024,32807,false,1,,5517,false,2,,3369,false,3,,,,,,10524,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,110111,10080,10914,1278,1031,45115,0,{},
2WHM8VNJH63UN14OL754,The Huntington National Bank,The Huntington National Bank,,,,IMB,2025,51203,11618805000,,50,,,,6.75,,estimated,Conventional|HELOC|Jumbo|FHA|VA|USDA,80,51203,2024,49736,false,1,,1813,false,2,,429,false,3,,47,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,99675,28712,12820,581,2173,3364,0,{},
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",,,,IMB,2025,41562,48198970000,,50,,,,6.75,,estimated,Conventional|Jumbo|HELOC|FHA|VA|USDA,78,41562,2024,35625,false,1,,848,false,2,,766,false,3,,1,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,89959,17404,21444,3667,175,10029,0,{},
JJKC32MCHWDI71265Z06,Truist Bank,Truist Bank,,,,IMB,2025,41059,14137735000,,50,,,,6.75,,estimated,Conventional|Jumbo|VA|FHA|USDA|HELOC,78,41059,2024,34358,false,1,,905,false,2,,538,false,3,,64,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,105457,32476,6696,2789,1822,25809,0,{},
254900DTLHVWQ7NP7R34,"THE LOAN STORE, INC.","THE LOAN STORE, INC.",,,,IMB,2025,40038,14322830000,,50,,,,6.75,,estimated,Conventional|VA|FHA|Jumbo|USDA|HELOC,78,40038,2024,20368,false,1,,2142,false,2,,1008,false,3,,30,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,37522,4755,1088,2192,5939,0,0,{},
QFROUN1UWUYU0DVIWD51,"Fifth Third Bank, National Association","Fifth Third Bank, National Association",,,,IMB,2025,39534,7992820000,,48,,,,6.75,,estimated,Conventional|Jumbo|FHA|USDA|VA|HELOC,77,39534,2024,29219,false,1,,967,false,2,,258,false,3,,50,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,64220,15321,7120,2129,1088,8068,0,{},
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,UNION HOME MORTGAGE CORP.,,,,IMB,2025,37767,11449685000,,49,,,,6.75,,estimated,Conventional|VA|FHA|USDA|Jumbo|HELOC,77,37767,2024,19257,false,1,,5299,false,2,,2206,false,3,,678,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,36843,1963,3704,2732,670,0,0,{},
254900UL88QFG0E40516,FIGURE LENDING LLC,FIGURE LENDING LLC,,,,IMB,2025,33415,2925295000,,50,,,,6.75,,estimated,Conventional|HELOC,76,33415,2024,34103,false,1,,,,,,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,95429,20737,4208,0,14825,21556,0,{},
549300PIL8LFAQ04XC20,"SPRING EQ, LLC","SPRING EQ, LLC",,,,IMB,2025,32174,3463910000,,46,,,,6.75,,estimated,Conventional|HELOC,76,32174,2024,31186,false,1,,,,,,,,,,,,,,,,,,988,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,true,2024,104263,57095,13927,1175,880,0,0,{},
EQTWLK1G7ODGC2MGLV11,Regions Bank,Regions Bank,,,,IMB,2025,30269,7958205000,,40,,,,6.75,,estimated,Conventional|Jumbo|HELOC|FHA|VA|USDA,76,30269,2024,27407,false,1,,1425,false,2,,376,false,3,,129,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,70436,27880,3874,4471,3626,15,0,{},
549300MZ8VZJOVC63092,"KIND LENDING, LLC","KIND LENDING, LLC",,,,IMB,2025,29401,11194105000,,49,,,,6.75,,estimated,VA|Conventional|FHA|HELOC|Jumbo|USDA,75,29401,2024,12296,false,1,,4779,false,2,,1420,false,3,,227,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,30482,7068,3431,96,167,947,0,{},
549300SHE1JTCOWBP090,STATE EMPLOYEES',STATE EMPLOYEES',,,,IMB,2025,28397,5533635000,,5,,,,6.75,,estimated,Conventional|HELOC|Jumbo,75,28397,2024,28065,false,1,,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,46508,11020,5098,1968,356,1,0,{},
549300XQVJ1XBNFA5536,21st Mortgage Corporation,21st Mortgage Corporation,,,,IMB,2025,28058,3320100000,,46,,,,6.75,,estimated,Conventional|Jumbo,75,28058,2024,30274,false,1,,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,173573,76563,7524,48112,2009,9091,0,{},
5493006VAGP3GQ8FJT49,"Kiavi Funding, Inc.","Kiavi Funding, Inc.",,,,IMB,2025,25528,7786260000,,47,,,,6.75,,estimated,Conventional|Jumbo,75,25528,2024,21996,false,1,,,,,,,,,,,,,,3532,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,30015,2620,4632,28,739,0,0,{},
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,AMERICAN PACIFIC MORTGAGE CORPORATION,,,,IMB,2025,24783,8670805000,,50,,,,6.75,,estimated,Conventional|FHA|VA|Jumbo|USDA,74,24783,2024,12761,false,1,,5628,false,2,,1859,false,3,,323,false,4,,4212,true,,Remainder after HMDA loan_type 1–4; single extra product tag on panel.,,,,,true,2024,28641,2117,5699,155,35,64,0,{},
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY","PRIMELENDING, A PLAINSCAPITAL COMPANY",,,,IMB,2025,24706,8153840000,,50,,,,6.75,,estimated,Conventional|VA|FHA|Jumbo|USDA,74,24706,2024,17949,false,1,,4602,false,2,,2299,false,3,,297,false,4,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,36578,1921,4542,122,2381,591,0,{},
